event_utc,cycle_run_id,event_type,supplier_id,f061_run_id,status,rows,notes
2026-05-14T00:46:15Z,fpm_live_20260513T124020Z,f061_memory_import,stax,fpm_stax_20260512T195116Z,success,5090,processed_rows=5079;memory_rows=33685
2026-05-14T00:51:54Z,fpm_live_20260513T124020Z,scanner_chunk,stax,fpm_stax_20260512T195116Z,success,25,pending_after=12024
2026-05-14T00:51:54Z,fpm_live_20260513T124020Z,f061_memory_import,stax,fpm_stax_20260512T195116Z,success,5116,processed_rows=5105;memory_rows=33710
2026-05-14T00:53:10Z,fpm_live_20260513T124020Z,scanner_chunk,stax,fpm_stax_20260512T195116Z,success,25,pending_after=11999
2026-05-14T00:53:10Z,fpm_live_20260513T124020Z,f061_memory_import,stax,fpm_stax_20260512T195116Z,success,5141,processed_rows=5130;memory_rows=33735
2026-05-14T01:03:13Z,f061_child,f061_browser_visibility,,,hidden,0,auth_confirmed
2026-05-14T01:03:20Z,f061_child,f061_browser_visibility,,,visible,0,amazon_dashboard_login_required
2026-05-14T01:01:39Z,fpm_live_20260513T124020Z,scanner_chunk,stax,fpm_stax_20260512T195116Z,success,25,pending_after=11974
2026-05-14T01:01:39Z,fpm_live_20260513T124020Z,f061_memory_import,stax,fpm_stax_20260512T195116Z,success,5170,processed_rows=5159;memory_rows=33760
2026-05-14T01:05:05Z,fpm_live_20260513T124020Z,scanner_chunk,stax,fpm_stax_20260512T195116Z,success,25,pending_after=11949
2026-05-14T01:05:05Z,fpm_live_20260513T124020Z,f061_memory_import,stax,fpm_stax_20260512T195116Z,success,5195,processed_rows=5184;memory_rows=33785
2026-05-14T01:06:53Z,fpm_live_20260513T124020Z,scanner_chunk,stax,fpm_stax_20260512T195116Z,success,25,pending_after=11924
2026-05-14T01:06:53Z,fpm_live_20260513T124020Z,f061_memory_import,stax,fpm_stax_20260512T195116Z,success,5220,processed_rows=5209;memory_rows=33810
2026-05-14T01:09:43Z,f061_child,f061_browser_visibility,,,hidden,0,auth_confirmed
