offer_variant_id,sku,seller_id_canonical,fulfilment_channel,condition,shipping_template,variant_first_seen_utc,variant_last_seen_utc,variant_active_flag
ov_ea1fc6daa5439d8e0b8d,4W-VS57-BV6A,aeu2j2p6wg61r,FBM,,UNKNOWN,2026-03-11T23:45:13Z,2026-03-11T23:45:13Z,1
ov_7cbba40324f718888a21,4W-VS57-BV6A,a1u2wcby9fqrj5,FBM,,UNKNOWN,2026-03-11T23:45:13Z,2026-03-11T23:45:13Z,1
ov_c4390526219598f3ceb4,4W-VS57-BV6A,aaoj3b4z594lc,FBM,,UNKNOWN,2026-03-11T23:45:13Z,2026-03-11T23:45:13Z,1
ov_bb575f72ae7af8318a2f,4W-VS57-BV6A,a3hm7wa2cbsopa,FBM,,UNKNOWN,2026-03-11T23:45:13Z,2026-03-11T23:45:13Z,1
ov_f7b89959767a48577a37,4W-VS57-BV6A,a2n6w6r4nfcnbx,FBM,,UNKNOWN,2026-03-11T23:45:13Z,2026-03-11T23:45:13Z,1
ov_9db7c15d86c3df3ca012,4W-VS57-BV6A,a30dc7701cxibh,FBM,,UNKNOWN,2026-03-11T23:45:13Z,2026-03-11T23:45:13Z,1
ov_d5d35486c9106c1c2397,4W-VS57-BV6A,a3ktb05difho8v,FBM,,UNKNOWN,2026-03-11T23:45:13Z,2026-03-11T23:45:13Z,1
ov_97ca5eec646a8a1be089,5Z-6Z0P-9TQQ,a1h3b251nw5f99,FBM,,UNKNOWN,2026-03-12T11:14:09Z,2026-03-12T11:14:09Z,1
ov_e2a578eb8fdc210e4976,5Z-6Z0P-9TQQ,a24ylast4yp6l5,FBA,,UNKNOWN,2026-03-12T11:14:09Z,2026-03-12T11:14:09Z,1
ov_e809bf07addf94ad31aa,5Z-6Z0P-9TQQ,ab5om860ms57z,FBA,,UNKNOWN,2026-03-12T11:14:09Z,2026-03-12T11:14:09Z,1
ov_f0eaea6096fa2d87b8cd,6Q-9G2A-IKVV,ab5om860ms57z,FBA,,UNKNOWN,2026-03-17T09:33:21Z,2026-03-17T09:33:21Z,1
ov_7d1cf62acf40bd93adcb,6V-EEC1-2S9Z,ab5om860ms57z,FBA,,UNKNOWN,2026-03-17T09:33:21Z,2026-03-17T09:33:21Z,1
ov_52c22a6b998c93cc61e4,714810,ab5om860ms57z,FBA,,UNKNOWN,2026-03-17T09:33:21Z,2026-03-17T09:33:21Z,1
ov_f92d94db536feb5597d8,8M-NHB7-T8TR,ab5om860ms57z,FBA,,UNKNOWN,2026-03-17T09:33:21Z,2026-03-17T09:33:21Z,1
ov_7acdc82293f9f9044285,8U-QPFH-3EKQ,ab5om860ms57z,FBA,,UNKNOWN,2026-03-17T09:33:21Z,2026-03-17T09:33:21Z,1
ov_a756a2dfc742d6648320,9X-HL62-83C7,a6edl63t4ntwd,FBA,,UNKNOWN,2026-03-17T09:33:21Z,2026-03-17T09:33:21Z,1
ov_8f974267301416ef5094,9X-HL62-83C7,aly9ihyddyjf2,FBA,,UNKNOWN,2026-03-17T09:33:21Z,2026-03-17T09:33:21Z,1
ov_77f581329b3c16da588c,9X-HL62-83C7,a3p5rokl5a1ole,FBA,,UNKNOWN,2026-03-17T09:33:21Z,2026-03-17T09:33:21Z,1
ov_1b50cfb4a62d44579267,9X-HL62-83C7,ab5om860ms57z,FBA,,UNKNOWN,2026-03-17T09:33:21Z,2026-03-17T09:33:21Z,1
ov_4b0e458d9e02712179d2,9X-HL62-83C7,a1wt1gdcdccw6j,FBM,,UNKNOWN,2026-03-17T06:42:35Z,2026-03-17T06:42:35Z,1
ov_e4abdb3b7af6ee4947c7,9X-HL62-83C7,a1r64iunvwpsmr,FBM,,UNKNOWN,2026-03-17T06:42:35Z,2026-03-17T06:42:35Z,1
ov_ce67a0b26dcedc232679,9X-HL62-83C7,arz3ky6ft4167,FBM,,UNKNOWN,2026-03-17T09:33:21Z,2026-03-17T09:33:21Z,1
ov_53ced11ff4863b832957,9X-HL62-83C7,a3mm2nexpr9yu5,FBA,,UNKNOWN,2026-03-17T09:33:21Z,2026-03-17T09:33:21Z,1
