event_ts_utc,sku,our_delivery_penalty_gbp,compliance_ceiling_landed_gbp,eligibility_ceiling_landed_gbp,demand_ceiling_landed_gbp,final_ceiling_landed_gbp,binding_ceiling_type,ceiling_reason_codes_json
2026-02-14T11:49:05Z,JB-RGB6-LZOJ,,,7.49,7.49,7.49,MANUAL_CAP,"[""BINDING_CEILING_MANUAL_CAP""]"
2026-02-14T12:04:09Z,JB-RGB6-LZOJ,,,7.49,7.49,7.49,MANUAL_CAP,"[""BINDING_CEILING_MANUAL_CAP""]"
2026-02-14T12:19:13Z,JB-RGB6-LZOJ,,,7.49,7.49,7.49,MANUAL_CAP,"[""BINDING_CEILING_MANUAL_CAP""]"
2026-02-14T12:34:17Z,JB-RGB6-LZOJ,,,7.49,7.49,7.49,MANUAL_CAP,"[""BINDING_CEILING_MANUAL_CAP""]"
2026-02-14T12:48:53Z,JB-RGB6-LZOJ,,,7.49,7.49,7.49,MANUAL_CAP,"[""BINDING_CEILING_MANUAL_CAP""]"
2026-02-14T13:03:57Z,JB-RGB6-LZOJ,,,7.49,7.49,7.49,MANUAL_CAP,"[""BINDING_CEILING_MANUAL_CAP""]"
2026-02-14T13:19:00Z,JB-RGB6-LZOJ,,,7.49,7.49,7.49,MANUAL_CAP,"[""BINDING_CEILING_MANUAL_CAP""]"
2026-02-14T13:34:09Z,JB-RGB6-LZOJ,,,7.49,7.49,7.49,MANUAL_CAP,"[""BINDING_CEILING_MANUAL_CAP""]"
2026-02-14T13:46:24Z,JB-RGB6-LZOJ,,,7.49,7.49,7.49,MANUAL_CAP,"[""BINDING_CEILING_MANUAL_CAP""]"
2026-02-14T13:46:24Z,6V-EEC1-2S9Z,,,9.19,9.19,9.19,MANUAL_CAP,"[""BINDING_CEILING_MANUAL_CAP""]"
2026-02-14T13:46:31Z,6V-EEC1-2S9Z,,,9.19,9.19,9.19,MANUAL_CAP,"[""BINDING_CEILING_MANUAL_CAP""]"
2026-02-14T13:50:00Z,6V-EEC1-2S9Z,,,9.19,9.19,9.19,MANUAL_CAP,"[""BINDING_CEILING_MANUAL_CAP""]"
2026-02-14T13:55:00Z,6V-EEC1-2S9Z,,,9.19,9.19,9.19,MANUAL_CAP,"[""BINDING_CEILING_MANUAL_CAP""]"
2026-02-14T14:00:00Z,6V-EEC1-2S9Z,,,9.19,9.19,9.19,MANUAL_CAP,"[""BINDING_CEILING_MANUAL_CAP""]"
2026-02-14T14:05:00Z,JB-RGB6-LZOJ,,,7.49,7.49,7.49,MANUAL_CAP,"[""BINDING_CEILING_MANUAL_CAP""]"
2026-02-14T14:15:00Z,4W-VS57-BV6A,,,7.49,7.49,7.49,MANUAL_CAP,"[""BINDING_CEILING_MANUAL_CAP""]"
2026-02-14T14:15:00Z,6V-EEC1-2S9Z,,,7.49,7.49,7.49,MANUAL_CAP,"[""BINDING_CEILING_MANUAL_CAP""]"
