seller_sku,allocated,available,returned_pending,unsellable,warehouse,order_qty,allocated_qty,unallocated_qty,asin,fnsku,condition,inventory_status,inventory_total_quantity,in_stock_supply_quantity,inbound_working,inventory_inbound_shipped,inventory_inbound_receiving,inventory_available,inventory_unsellable,reserved_transfers,reserved_processing,reserved_customer,last_updated_time,inventory_inbound,refund_events,stock_adjustment_events,token_total,available_tokens,warehouse_tokens,unsellable_tokens,returned_pending_tokens,ready_to_allocate,delta_inbound_vs_tokens,report_ts
DC-K5WH-R7F5,336,181,1,0,0,337,0,337,B0073FT7FY,X0026L1SCN,NewItem,,183.0,182,0,0.0,0.0,182,0,0,0,1,2026-01-20T03:50:49Z,0,1,7,518,181,0,0,1,False,0,2026-01-20T13:24:57Z
DO-QDI1-K7R9,2,0,0,0,0,2,0,2,B0BBH71LQN,X0029PJ5SZ,NewItem,,0.0,0,0,0.0,0.0,0,0,0,0,0,2025-12-06T14:55:57Z,0,0,0,2,0,0,0,0,False,0,2026-01-20T13:24:57Z
DT-SPI3-IK34,1,0,0,0,0,1,0,1,B00BA4IOTY,X0025GLTMX,NewItem,,0.0,0,0,0.0,0.0,0,0,0,0,0,2025-11-07T04:57:23Z,0,0,0,1,0,0,0,0,False,0,2026-01-20T13:24:57Z
DV-USYD-8WR2,3,0,0,0,1,3,0,3,B0D3JD4FFD,X00245PP39,NewItem,,1.0,0,0,0.0,0.0,0,0,0,1,0,2026-01-20T12:10:17Z,0,0,1,4,0,1,0,0,False,1,2026-01-20T13:24:57Z
EA-FZ2V-D7II,1,0,0,0,0,1,0,1,B00D1V5NWK,X00247V6UN,NewItem,,0.0,0,0,0.0,0.0,0,0,0,0,0,2025-11-07T00:12:34Z,0,0,0,1,0,0,0,0,False,0,2026-01-20T13:24:57Z
EE-KTDC-KCFY,29,0,0,0,0,29,0,29,B08FSDMVNP,X00245PODF,NewItem,,0.0,0,0,0.0,0.0,0,0,0,0,0,2025-12-05T23:24:41Z,0,0,1,29,0,0,0,0,False,0,2026-01-20T13:24:57Z
EV-CHU5-XU3G,164,61,1,0,2,165,0,165,B07QQDMJ6M,X001ZK4BVL,NewItem,,66.0,62,0,0.0,0.0,62,0,0,3,1,2026-01-20T12:05:00Z,0,1,62,228,61,2,0,1,False,2,2026-01-20T13:24:57Z
F7-PMJ2-SG6A,124,53,1,0,1,125,0,125,B07RZBBG14,X002F5VV0T,NewItem,,55.0,54,0,0.0,0.0,54,0,0,1,0,2026-01-20T03:00:33Z,0,1,1,179,53,1,0,1,False,1,2026-01-20T13:24:57Z
FB-6FW0-Z82Q,0,8,0,0,0,0,0,0,B005F5TRBI,X002AFJNZT,NewItem,,8.0,8,0,0.0,0.0,8,0,0,0,0,2026-01-19T03:50:27Z,0,0,0,8,8,0,0,0,True,0,2026-01-20T13:24:57Z
FBA15K3QTGNT_unexpected_item_01,2,0,0,0,0,2,0,2,B07RRQX71T,X0029AOPNP,NewItem,,0.0,0,0,0.0,0.0,0,0,0,0,0,2025-11-04T00:11:25Z,0,0,1,2,0,0,0,0,False,0,2026-01-20T13:24:57Z
G8-L8EI-INMK,4,0,0,0,0,4,0,4,B0054SB72I,X002F63507,NewItem,,0.0,0,0,0.0,0.0,0,0,0,0,0,2025-11-03T21:01:55Z,0,0,0,4,0,0,0,0,False,0,2026-01-20T13:24:57Z
GA-9DTN-9O1E,6,1,0,0,0,6,0,6,B086763VT8,X00259FBMT,NewItem,,1.0,1,0,0.0,0.0,1,0,0,0,0,2026-01-20T02:43:10Z,0,0,0,7,1,0,0,0,False,0,2026-01-20T13:24:57Z
GD-B8SW-1PCP,9,0,0,0,0,9,0,9,B0D2Y4NPKZ,X0022YQ5E5,NewItem,,0.0,0,0,0.0,0.0,0,0,0,0,0,2025-12-05T21:15:52Z,0,0,0,9,0,0,0,0,False,0,2026-01-20T13:24:57Z
GH-PONH-K4WQ,12,2,0,0,0,12,0,12,B08L3FB3G2,X002F5T589,NewItem,,2.0,2,0,0.0,0.0,2,0,0,0,0,2026-01-11T13:25:36Z,0,0,1,14,2,0,0,0,False,0,2026-01-20T13:24:57Z
GJ-2OZK-0GCA,0,9,0,0,5,0,0,0,B0CS3VF4GK,X002C5LQ1B,NewItem,,14.0,9,0,0.0,0.0,9,0,5,0,0,2026-01-20T11:57:42Z,0,0,1,14,9,5,0,0,True,5,2026-01-20T13:24:57Z
GK-YI4S-C158,5,3,0,0,0,5,0,5,B0009JJZ8A,X00246VCUN,NewItem,,3.0,3,0,0.0,0.0,3,0,0,0,0,2026-01-20T04:29:09Z,0,0,62,8,3,0,0,0,False,0,2026-01-20T13:24:57Z
GY-FO04-RDYL,0,1,0,0,0,0,0,0,B09M3PQRBG,X00293HPTD,NewItem,,1.0,1,0,0.0,0.0,1,0,0,0,0,2026-01-19T03:49:31Z,0,0,0,1,1,0,0,0,True,0,2026-01-20T13:24:57Z
H4-86XG-NLX6,21,0,0,0,1,21,0,21,B0CVNMZHZ6,X002F5UNY9,NewItem,,1.0,0,0,0.0,0.0,0,0,0,1,0,2026-01-20T04:03:31Z,0,0,4,22,0,1,0,0,False,1,2026-01-20T13:24:57Z
H6-E7MP-EBPD,2,25,0,0,0,2,0,2,B00000IU72,X0028LVUDD,NewItem,,25.0,25,0,0.0,0.0,25,0,0,0,0,2026-01-18T00:10:04Z,0,0,0,27,25,0,0,0,True,0,2026-01-20T13:24:57Z
HL-03ZR-QPHH,1,4,0,0,0,1,0,1,B09M3PFZC8,X00293C8PJ,NewItem,,4.0,4,0,0.0,0.0,4,0,0,0,0,2026-01-20T07:08:30Z,0,0,0,5,4,0,0,0,True,0,2026-01-20T13:24:57Z
HO-LSOY-8R05,0,3,0,0,0,0,0,0,B0BVZZDW1W,X002C5IQTB,NewItem,,3.0,3,0,0.0,0.0,3,0,0,0,0,2026-01-20T02:42:37Z,0,0,0,3,3,0,0,0,True,0,2026-01-20T13:24:57Z
HS-R5IP-7E1C,0,2,0,0,0,0,0,0,B00LXM3PGK,X0028A4SUV,NewItem,,2.0,2,0,0.0,0.0,2,0,0,0,0,2026-01-07T15:45:22Z,0,0,0,2,2,0,0,0,True,0,2026-01-20T13:24:57Z
I2-6YKQ-CIBP,32,0,0,0,0,32,0,32,B007YX9O9E,X002EEAAT9,NewItem,,0.0,0,0,0.0,0.0,0,0,0,0,0,2025-12-19T22:01:58Z,0,0,2,32,0,0,0,0,False,0,2026-01-20T13:24:57Z
IB-U5FA-BO2Y,5,0,2,0,0,8,0,8,B0D3JC45CK,X00245PSXV,NewItem,,1.0,1,0,0.0,0.0,1,0,0,0,0,2026-01-19T02:37:56Z,0,2,3,7,0,0,0,2,False,0,2026-01-20T13:24:57Z
IJ-V0PQ-4CZ4,1,8,0,0,0,1,0,1,B09NQCV872,X002ASB2SR,NewItem,,8.0,8,0,0.0,0.0,8,0,0,0,0,2026-01-18T00:00:37Z,0,0,0,9,8,0,0,0,True,0,2026-01-20T13:24:57Z
IM-AYXV-79NJ,5,0,0,0,0,5,0,5,B09HXXMJV9,X002EE7EMP,NewItem,,0.0,0,0,0.0,0.0,0,0,0,0,0,2025-11-11T21:35:38Z,0,0,0,5,0,0,0,0,False,0,2026-01-20T13:24:57Z
JB-RGB6-LZOJ,1,102,0,0,0,1,0,1,B0001P0DLU,X0023ISRE1,NewItem,,102.0,102,0,0.0,0.0,102,0,0,0,0,2026-01-20T07:04:48Z,0,0,0,103,102,0,0,0,True,0,2026-01-20T13:24:57Z
JH-97NP-GJDG,2,0,0,0,0,2,0,2,B007C3KBIY,X002041FIX,NewItem,,0.0,0,0,0.0,0.0,0,0,0,0,0,2026-01-20T01:14:26Z,0,0,0,2,0,0,0,0,False,0,2026-01-20T13:24:57Z
JL-VTP2-JF3Q,7,1,0,0,0,7,0,7,B07BLX7YG9,X0029NC4AD,NewItem,,1.0,1,0,0.0,0.0,1,0,0,0,0,2026-01-18T02:17:10Z,0,0,0,8,1,0,0,0,False,0,2026-01-20T13:24:57Z
JV-D1TI-6UF6,35,0,0,0,0,35,0,35,B002HY4YSQ,X0023ISNDV,NewItem,,0.0,0,0,0.0,0.0,0,0,0,0,0,2026-01-06T13:34:44Z,0,0,4,35,0,0,0,0,False,0,2026-01-20T13:24:57Z
K0-71JR-UNLF,3,0,0,0,0,3,0,3,B01JL0WRI2,X002AQ6CZ7,NewItem,,0.0,0,0,0.0,0.0,0,0,0,0,0,2026-01-13T23:49:38Z,0,0,0,3,0,0,0,0,False,0,2026-01-20T13:24:57Z
KI-CR51-18J3,4,0,1,0,1,6,0,6,B0070Y60K8,X0029NGLQL,NewItem,,1.0,0,0,0.0,0.0,0,0,0,1,0,2026-01-20T02:22:19Z,0,1,0,6,0,1,0,1,False,1,2026-01-20T13:24:57Z
L1-54EX-56YC,7,23,0,0,0,7,0,7,B09445GL1C,X002BA017H,NewItem,,23.0,23,0,0.0,0.0,23,0,0,0,0,2026-01-19T08:46:33Z,0,0,2,30,23,0,0,0,True,0,2026-01-20T13:24:57Z
L3-ZQ8U-A7LQ,18,67,0,0,1,18,0,18,B004I2N5AS,X0025MV6P7,NewItem,,68.0,67,0,0.0,0.0,67,0,0,1,0,2026-01-20T03:48:26Z,0,0,0,86,67,1,0,0,True,1,2026-01-20T13:24:57Z
L5-PF3B-WHU4,7,11,0,0,4,7,0,7,B09LDDFK4R,X002B838YR,NewItem,,15.0,11,0,0.0,0.0,11,0,4,0,0,2026-01-20T11:58:30Z,0,0,5,22,11,4,0,0,True,4,2026-01-20T13:24:57Z
LF-X542-9TDZ,5,0,0,0,0,5,0,5,B07YYG14S1,X002EDY6JZ,NewItem,,0.0,0,0,0.0,0.0,0,0,0,0,0,2025-12-07T17:13:50Z,0,0,0,5,0,0,0,0,False,0,2026-01-20T13:24:57Z
LR-7GM6-1RCH,4,13,0,0,0,4,0,4,B08MQB42B3,X0029NJ5DH,NewItem,,13.0,13,0,0.0,0.0,13,0,0,0,0,2026-01-15T17:42:29Z,0,0,0,17,13,0,0,0,True,0,2026-01-20T13:24:57Z
LV-425G-BY4X,44,0,0,0,0,44,0,44,9188805646,X0029FM6EP,NewItem,,1.0,0,0,0.0,0.0,0,0,0,0,1,2026-01-20T02:47:09Z,0,0,4,44,0,0,0,0,False,0,2026-01-20T13:24:57Z
M5-71MK-T0DL,1,0,0,0,0,1,0,1,B0B337ZY41,X001YBXX0B,NewItem,,0.0,0,0,0.0,0.0,0,0,0,0,0,2025-11-18T22:30:49Z,0,0,1,1,0,0,0,0,False,0,2026-01-20T13:24:57Z
MF-TPXM-F8AF,1,0,0,0,0,1,0,1,B0D3J9C8NN,X0025GWHAB,NewItem,,0.0,0,0,0.0,0.0,0,0,0,0,0,2025-11-21T14:22:07Z,0,0,1,1,0,0,0,0,False,0,2026-01-20T13:24:57Z
MW-9K5M-VKW8,98,0,1,0,0,100,0,100,B0073TTHBY,X0022WK51L,NewItem,,0.0,0,0,0.0,0.0,0,0,0,0,0,2026-01-19T20:18:26Z,0,1,3,99,0,0,0,1,False,0,2026-01-20T13:24:57Z
MY-KL21-NMV5,8,0,0,0,0,8,0,8,B0913SVFD3,X0022WODPF,NewItem,,0.0,0,0,0.0,0.0,0,0,0,0,0,2026-01-06T13:35:18Z,0,0,88,8,0,0,0,0,False,0,2026-01-20T13:24:57Z
N7-A24N-WJA7,47,0,0,0,0,47,0,47,B09NM9TVYX,X002F5HCIJ,NewItem,,0.0,0,0,0.0,0.0,0,0,0,0,0,2025-12-03T23:46:42Z,0,0,4,47,0,0,0,0,False,0,2026-01-20T13:24:57Z
NN-TSZ1-X2RD,226,18,0,0,1,226,0,226,B093FQYQJH,X00293I5FB,NewItem,,21.0,18,0,0.0,0.0,18,0,0,1,2,2026-01-20T12:05:48Z,0,0,70,245,18,1,0,0,False,1,2026-01-20T13:24:57Z
NX-0Q7A-XR6H,6,0,0,0,0,6,0,6,B082DG6GJ6,X002C5KLWV,NewItem,,0.0,0,0,0.0,0.0,0,0,0,0,0,2025-11-10T03:11:19Z,0,0,0,6,0,0,0,0,False,0,2026-01-20T13:24:57Z
