Timestamp,ASIN,SKU,FBA/FBM Stock,Reserved,Sent  to FBA
10/27/2024 3:02:06,B0C6YDPSJ7,WO-75W6-980Q,10,0,0
10/27/2024 3:02:06,B0CBNNKLYJ,0T-LQK2-KFCY,2,0,0
10/27/2024 3:02:06,B0CG4TDDKM,F9-ETRB-6FVQ,6,0,0
10/27/2024 3:02:06,B0CJMMYYCJ,0N-VZG5-JH06,50,0,0
10/27/2024 3:02:06,B0CT2BZ864,S8-7VIK-3VEL,12,0,0
10/28/2024 3:02:07,B08KFFY86W,VF-3T0K-DR5O,408,418,1
10/28/2024 3:02:07,B006PFN3BW,A2-T2AC-TW3L,303,19,0
10/28/2024 3:02:07,B07C8QSSR2,4U-9ZL6-9G0Y,535,417,4
10/28/2024 3:02:07,B06WW79DX5,6V-EEC1-2S9Z,153,28,0
10/28/2024 3:02:07,B007R2ICTK,WX-L5UA-UB1Q,518,10,0
10/28/2024 3:02:07,B00WOFBCHO,BJ-1TEF-1BUZ,124,0,0
10/28/2024 3:02:07,B00AOES9GE,XH-0LAE-FQO5,266,1,1
10/28/2024 3:02:07,B07TRJPM5R,TE-PYY9-E5X8,55,5,0
10/28/2024 3:02:07,B01G263L1K,1Q-OTO8-JG8E,179,2,0
10/28/2024 3:02:07,B08M52B4M5,AX-NKNU-29C1,146,4,0
10/28/2024 3:02:07,B0049A27FS,OZ-3NKR-VLYG,59,2,0
10/28/2024 3:02:07,B07SLLYRSP,SU-5LQH-2DVN,138,4,0
10/28/2024 3:02:07,B082L15JYR,V5-VWRV-4S7K,41,1,0
10/28/2024 3:02:07,B07QQDMJ6M,EV-CHU5-XU3G,103,3,0
10/28/2024 3:02:07,B078K3B7R6,93-TB6X-UKTU,131,1,2
10/28/2024 3:02:07,B0001P0DLU,JB-RGB6-LZOJ,101,0,2
10/28/2024 3:02:07,B07RBWJ6W8,M5-EOFN-2WPJ,75,2,0
10/28/2024 3:02:07,B08FSDMVNP,EE-KTDC-KCFY,31,1,2
10/28/2024 3:02:07,B01H8QOUTA,10-PGVO-YV15,3,0,0
10/28/2024 3:02:07,B087V742Y5,TH-JWYZ-LM0D,2,2,0
10/28/2024 3:02:07,B07J9JGZZV,Z7-26PV-O9LR,192,2,0
10/28/2024 3:02:07,B07BBZZ8RC,WR-3V7D-BB7Z,21,0,0
10/28/2024 3:02:07,B08BTN21C4,QD-2EAL-Z4J5,22,1,0
10/28/2024 3:02:07,B07B8RJDXT,6P-IWYA-X18B,39,2,0
10/28/2024 3:02:07,B01H8QOWA2,TK-2H97-E7UH,81,1,0
10/28/2024 3:02:07,B00BUY54DI,FA-LRV6-YRFW,15,0,0
10/28/2024 3:02:07,B0B18N781Q,M4-MV10-9TX7,4,0,0
10/28/2024 3:02:07,B0C3WPYJHL,LW-0BSW-ZD88,37,0,0
10/28/2024 3:02:07,B000FGECAI,Z3-ORV9-K8XD,2,4,0
10/28/2024 3:02:07,B002HY4YSQ,JV-D1TI-6UF6,12,0,0
10/28/2024 3:02:07,B01CWYES90,HI-4CXM-9WVU,22,0,0
