report_utc,supplier_name,supplier_code,rows_total,rows_action_candidate,rows_action_ready,rows_blocked,rows_missing_cost_truth,rows_missing_market_truth,rows_missing_demand_truth,rows_wait_suggested,rows_snoozed,rows_missing_qty_prefill,rows_missing_cost_prefill,rows_missing_image
2026-05-19T12:39:03Z,Pulse Wholesale,,1,0,0,1,1,1,1,1,0,1,1,0
2026-05-19T12:39:03Z,Rashmian,6F22R-1BP,1,0,0,1,1,1,1,1,0,1,1,0
2026-05-19T12:39:03Z,Rashmian,A500WEA-1EF,1,0,0,1,1,0,1,1,0,1,1,0
2026-05-19T12:39:03Z,Rashmian,D660EN,1,0,0,1,1,0,1,1,0,1,1,0
2026-05-19T12:39:03Z,Rashmian,D850EN,1,0,0,1,1,0,1,1,0,1,1,0
2026-05-19T12:39:03Z,Rashmian,DC753EN,1,0,0,1,1,0,1,1,0,1,1,0
2026-05-19T12:39:03Z,Rashmian,F-91WC-4AEF,1,0,0,1,1,0,1,1,0,1,1,0
2026-05-19T12:39:03Z,Rashmian,F-91WC-9AEF,1,0,0,1,1,0,1,1,0,1,1,0
2026-05-19T12:39:03Z,Rashmian,F-91WM-3AEF,1,0,0,1,0,1,1,1,0,1,0,0
2026-05-19T12:39:03Z,Rashmian,F-91WM-7AEF,1,0,0,1,1,0,1,1,0,1,1,0
2026-05-19T12:39:03Z,Rashmian,GVDR08WD,1,0,0,1,1,0,1,1,0,1,1,0
2026-05-19T12:39:03Z,Rashmian,GVDR09BK,1,0,0,1,1,0,0,1,0,1,1,0
2026-05-19T12:39:03Z,Rashmian,HPBT010D,1,0,0,1,1,0,1,1,0,1,1,0
2026-05-19T12:39:03Z,Rashmian,JC598BBI1,1,0,0,1,1,0,1,1,0,1,1,0
2026-05-19T12:39:03Z,Rashmian,JC598PAI2,1,0,0,1,1,0,1,1,0,1,1,0
2026-05-19T12:39:03Z,Rashmian,JC598UNII1,1,0,0,1,1,0,1,1,0,1,1,0
2026-05-19T12:39:03Z,Rashmian,LA680WEA-7EF,1,0,0,1,1,0,1,1,0,1,1,0
