Order ID,SKU,Date,l3_date,amazon_order_id,purchase_date,marketplace_id,order_status,order_date
202-6156917-4233114,6V-EEC1-2S9Z,2025-11-03T21:22:33Z,2025-11-03 21:22:33+00:00,,,,,
204-9593480-7910727,NN-TSZ1-X2RD,2025-11-03T21:26:04Z,2025-11-03 21:26:04+00:00,,,,,
206-8475008-1799528,6V-EEC1-2S9Z,2025-11-03T21:32:06Z,2025-11-03 21:32:06+00:00,,,,,
206-0993459-9566729,A2-T2AC-TW3L,2025-11-03T21:36:47Z,2025-11-03 21:36:47+00:00,,,,,
206-0299224-9211534,6V-EEC1-2S9Z,2025-11-03T21:46:09Z,2025-11-03 21:46:09+00:00,,,,,
206-6749589-2546723,6V-EEC1-2S9Z,2025-11-03T21:46:13Z,2025-11-03 21:46:13+00:00,,,,,
202-6103501-0777941,A2-T2AC-TW3L,2025-11-03T21:52:32Z,2025-11-03 21:52:32+00:00,,,,,
205-0796657-4859506,A2-T2AC-TW3L,2025-11-03T21:56:27Z,2025-11-03 21:56:27+00:00,,,,,
205-0051957-0529155,6V-EEC1-2S9Z,2025-11-03T21:57:58Z,2025-11-03 21:57:58+00:00,,,,,
204-8310274-3901129,6V-EEC1-2S9Z,2025-11-03T22:00:04Z,2025-11-03 22:00:04+00:00,,,,,
204-8890073-2802755,6V-EEC1-2S9Z,2025-11-03T22:08:14Z,2025-11-03 22:08:14+00:00,,,,,
205-9444711-4072306,A2-T2AC-TW3L,2025-11-03T22:09:16Z,2025-11-03 22:09:16+00:00,,,,,
204-3099409-2525947,ZT-QPY3-P24I,2025-11-03T22:10:17Z,2025-11-03 22:10:17+00:00,,,,,
203-9813838-7492364,6V-EEC1-2S9Z,2025-11-03T22:14:00Z,2025-11-03 22:14:00+00:00,,,,,
203-5402629-4425950,6V-EEC1-2S9Z,2025-11-03T22:14:07Z,2025-11-03 22:14:07+00:00,,,,,
204-3995560-6770741,JV-D1TI-6UF6,2025-11-03T22:20:45Z,2025-11-03 22:20:45+00:00,,,,,
202-9384439-1449128,6V-EEC1-2S9Z,2025-11-03T22:25:20Z,2025-11-03 22:25:20+00:00,,,,,
202-9236233-7222710,R7-98IN-2PW8,2025-11-03T22:26:27Z,2025-11-03 22:26:27+00:00,,,,,
203-2736566-3779556,BB-ZT14-1QQA,2025-11-03T22:27:11Z,2025-11-03 22:27:11+00:00,,,,,
202-1747869-9113127,6V-EEC1-2S9Z,2025-11-03T22:27:37Z,2025-11-03 22:27:37+00:00,,,,,
206-7329731-2560331,9X-7TBD-NA16,2025-11-03T22:38:02Z,2025-11-03 22:38:02+00:00,,,,,
202-4453692-1954763,NN-TSZ1-X2RD,2025-11-03T22:41:44Z,2025-11-03 22:41:44+00:00,,,,,
205-3548583-5681942,A2-T2AC-TW3L,2025-11-03T22:42:31Z,2025-11-03 22:42:31+00:00,,,,,
204-4704288-2473162,A2-T2AC-TW3L,2025-11-03T22:43:35Z,2025-11-03 22:43:35+00:00,,,,,
203-8633125-0275557,6V-EEC1-2S9Z,2025-11-03T22:49:32Z,2025-11-03 22:49:32+00:00,,,,,
203-4145340-3555521,6V-EEC1-2S9Z,2025-11-03T22:50:07Z,2025-11-03 22:50:07+00:00,,,,,
204-6163821-2017916,6V-EEC1-2S9Z,2025-11-03T22:56:06Z,2025-11-03 22:56:06+00:00,,,,,
204-6886867-0544363,A2-T2AC-TW3L,2025-11-03T23:00:56Z,2025-11-03 23:00:56+00:00,,,,,
206-7541212-9949911,AK-OB6V-HIYD,2025-11-03T23:04:55Z,2025-11-03 23:04:55+00:00,,,,,
204-4118918-8046705,0H-5V53-GPG4,2025-11-03T23:05:47Z,2025-11-03 23:05:47+00:00,,,,,
026-6783061-3824300,6V-EEC1-2S9Z,2025-11-03T23:14:56Z,2025-11-03 23:14:56+00:00,,,,,
205-1837362-3849904,0H-5V53-GPG4,2025-11-03T23:18:46Z,2025-11-03 23:18:46+00:00,,,,,
026-2259729-3306732,XH-0LAE-FQO5,2025-11-03T23:25:01Z,2025-11-03 23:25:01+00:00,,,,,
202-6420166-2333963,6V-EEC1-2S9Z,2025-11-03T23:29:15Z,2025-11-03 23:29:15+00:00,,,,,
204-1242078-2734749,R7-98IN-2PW8,2025-11-03T23:40:48Z,2025-11-03 23:40:48+00:00,,,,,
203-6052317-0555513,A2-T2AC-TW3L,2025-11-03T23:44:42Z,2025-11-03 23:44:42+00:00,,,,,
203-5913357-8932331,6V-EEC1-2S9Z,2025-11-03T23:48:07Z,2025-11-03 23:48:07+00:00,,,,,
026-4595055-7809102,6V-EEC1-2S9Z,2025-11-03T23:55:15Z,2025-11-03 23:55:15+00:00,,,,,
203-4696275-3603525,6V-EEC1-2S9Z,2025-11-03T23:55:20Z,2025-11-03 23:55:20+00:00,,,,,
204-1580584-6873160,XH-0LAE-FQO5,2025-11-03T23:56:26Z,2025-11-03 23:56:26+00:00,,,,,
206-1133785-6292324,A2-T2AC-TW3L,2025-11-04T00:02:20Z,2025-11-04 00:02:20+00:00,,,,,
206-0815819-5444338,6V-EEC1-2S9Z,2025-11-04T00:04:42Z,2025-11-04 00:04:42+00:00,,,,,
204-1580584-6873160,NN-TSZ1-X2RD,2025-11-04T00:13:34Z,2025-11-04 00:13:34+00:00,,,,,
