order_id_norm,sb_cogs,sb_cogs_abs,Order ID,our_cogs_abs,diff
202-7492014-5841140,-2.46,2.46,202-7492014-5841140,2.73,0.27
205-6976101-5841142,-2.46,2.46,205-6976101-5841142,2.73,0.27
205-6921997-9461914,-2.46,2.46,205-6921997-9461914,2.73,0.27
205-5528329-6353165,-2.46,2.46,205-5528329-6353165,2.73,0.27
202-8182226-2529903,-2.46,2.46,202-8182226-2529903,2.73,0.27
202-8185610-9007510,-2.46,2.46,202-8185610-9007510,2.73,0.27
202-8226513-7672361,-2.46,2.46,202-8226513-7672361,2.73,0.27
205-2670523-4221142,-2.46,2.46,205-2670523-4221142,2.73,0.27
205-2961402-1657937,-2.46,2.46,205-2961402-1657937,2.73,0.27
205-3270107-7950766,-2.46,2.46,205-3270107-7950766,2.73,0.27
205-4275157-6233134,-2.46,2.46,205-4275157-6233134,2.73,0.27
205-3998961-7977140,-2.46,2.46,205-3998961-7977140,2.73,0.27
203-1094656-1601916,-2.46,2.46,203-1094656-1601916,2.73,0.27
203-0688405-3298762,-2.46,2.46,203-0688405-3298762,2.73,0.27
203-0410352-7286732,-2.46,2.46,203-0410352-7286732,2.73,0.27
205-3753633-8543537,-2.46,2.46,205-3753633-8543537,2.73,0.27
205-3653031-7757965,-2.46,2.46,205-3653031-7757965,2.73,0.27
205-3599666-7795559,-2.46,2.46,205-3599666-7795559,2.73,0.27
205-4357882-5211502,-2.46,2.46,205-4357882-5211502,2.73,0.27
205-5126166-9195504,-2.46,2.46,205-5126166-9195504,2.73,0.27
202-0811035-8160343,-2.46,2.46,202-0811035-8160343,2.73,0.27
206-2241153-7425164,-2.46,2.46,206-2241153-7425164,2.73,0.27
202-0289114-7566715,-2.46,2.46,202-0289114-7566715,2.73,0.27
202-0317895-5938767,-2.46,2.46,202-0317895-5938767,2.73,0.27
203-2385137-7922760,-2.46,2.46,203-2385137-7922760,2.73,0.27
203-2329041-4277927,-2.46,2.46,203-2329041-4277927,2.73,0.27
203-1701666-4803509,-2.46,2.46,203-1701666-4803509,2.73,0.27
203-2469124-3232350,-2.46,2.46,203-2469124-3232350,2.73,0.27
203-4576656-3934724,-2.46,2.46,203-4576656-3934724,2.73,0.27
203-3931005-8486767,-2.46,2.46,203-3931005-8486767,2.73,0.27
203-3536234-0613901,-2.46,2.46,203-3536234-0613901,2.73,0.27
