posted_date,transaction_type,amount_type,is_fee,amount,currency,tax_amount,tax_currency,order_id,shipment_id,inbound_shipment_id,fee_reason,fee_description,parsed_fba_shipment_id
,ServiceFee,FBALongTermStorageFee,True,-0.03,GBP,,,,,,,,
,ServiceFee,FBALongTermStorageFee,True,-0.27,GBP,,,,,,,,
,ServiceFee,FBALongTermStorageFee,True,-0.14,GBP,,,,,,,,
,ServiceFee,FBALongTermStorageFee,True,,GBP,,,,,,,,
,ServiceFee,FBALongTermStorageFee,True,-0.31,GBP,,,,,,,,
,ServiceFee,FBALongTermStorageFee,True,-0.01,GBP,,,,,,,,
,ServiceFee,FBALongTermStorageFee,True,-0.09,GBP,,,,,,,,
,ServiceFee,FBALongTermStorageFee,True,-0.6,GBP,,,,,,,,
,ServiceFee,FBALongTermStorageFee,True,-0.01,GBP,,,,,,,,
,ServiceFee,FBALongTermStorageFee,True,-0.05,GBP,,,,,,,,
,ServiceFee,FBALongTermStorageFee,True,,GBP,,,,,,,,
,ServiceFee,FBALongTermStorageFee,True,-0.27,GBP,,,,,,,,
,ServiceFee,FBALongTermStorageFee,True,-0.1,GBP,,,,,,,,
,ServiceFee,FBALongTermStorageFee,True,-0.01,GBP,,,,,,,,
,ServiceFee,FBALongTermStorageFee,True,-0.42,GBP,,,,,,,,
,ServiceFee,FBALongTermStorageFee,True,,GBP,,,,,,,,
,ServiceFee,FBALongTermStorageFee,True,-0.07,GBP,,,,,,,,
,ServiceFee,FBALongTermStorageFee,True,-0.02,GBP,,,,,,,,
,ServiceFee,FBALongTermStorageFee,True,-0.05,GBP,,,,,,,,
,ServiceFee,FBALongTermStorageFee,True,,GBP,,,,,,,,
,ServiceFee,FBALongTermStorageFee,True,-1.34,GBP,,,,,,,,
,ServiceFee,FBALongTermStorageFee,True,-0.47,GBP,,,,,,,,
,ServiceFee,FBALongTermStorageFee,True,-0.12,EUR,,,,,,,,
,ServiceFee,FBALongTermStorageFee,True,-0.08,EUR,,,,,,,,
,ServiceFee,FBALongTermStorageFee,True,-0.01,EUR,,,,,,,,
,ServiceFee,FBAInboundTransportationFee,True,-3.17,GBP,,,,,,,,
,ServiceFee,FBAInboundTransportationProgramFee,True,-0.16,GBP,,,,,,,,
,ServiceFee,FBAInboundTransportationFee,True,-11.34,GBP,,,,,,,,
,ServiceFee,FBAInboundTransportationProgramFee,True,-0.57,GBP,,,,,,,,
,ServiceFee,Subscription,True,-30.0,GBP,,,,,,,,
,ServiceFee,FBARemovalFee,True,-0.59,GBP,,,q/ErBcvq40,,,,,
,ServiceFee,FBARemovalFee,True,-1.77,GBP,,,q/ErBcvq40,,,,,
,ServiceFee,FBARemovalFee,True,-0.58,GBP,,,q/ErBcvq40,,,,,
,ServiceFee,FBARemovalFee,True,-0.8,GBP,,,q/ErBcvq40,,,,,
,ServiceFee,FBARemovalFee,True,-0.59,GBP,,,q/ErBcvq40,,,,,
,ServiceFee,FBARemovalFee,True,-0.58,GBP,,,q/ErBcvq40,,,,,
,ServiceFee,FBARemovalFee,True,-0.59,GBP,,,q/ErBcvq40,,,,,
,ServiceFee,FBARemovalFee,True,-2.37,GBP,,,q/ErBcvq40,,,,,
,ServiceFee,FBARemovalFee,True,-1.78,GBP,,,q/ErBcvq40,,,,,
,ServiceFee,FBARemovalFee,True,,GBP,,,q/ErBcvq40,,,,,
,ServiceFee,CustomerReturnHRRUnitFee,True,-5.64,GBP,,,,,,,FBA Customer Returns Fee (Non-Apparel and Non-Shoes) for ASIN: B00ANP09LM (2025-10-01 to 2025-12-31),
,ServiceFee,FBARemovalFee,True,-0.58,GBP,,,IZK0Z1eiqh,,,,,
,ServiceFee,FBARemovalFee,True,-1.78,GBP,,,IZK0Z1eiqh,,,,,
,ServiceFee,FBAStorageFee,True,-3.18,GBP,,,,,,,,
,ServiceFee,FBAStorageFee,True,-7.36,GBP,,,,,,,,
,ServiceFee,FBAStorageFee,True,-0.42,GBP,,,,,,,,
,ServiceFee,FBAStorageFee,True,-0.02,GBP,,,,,,,,
,ServiceFee,FBAStorageFee,True,-0.03,GBP,,,,,,,,
,ServiceFee,FBAStorageFee,True,-0.02,GBP,,,,,,,,
,ServiceFee,FBAStorageFee,True,-2.39,GBP,,,,,,,,
,ServiceFee,FBAStorageFee,True,-0.03,GBP,,,,,,,,
,ServiceFee,FBAStorageFee,True,-2.26,GBP,,,,,,,,
,ServiceFee,FBAStorageFee,True,-0.02,GBP,,,,,,,,
