sku,lot_id,sent_to_fba,existing_tokens,tokens_created,cost_per_unit,order_date
SR-6OBB-WC03,SR-6OBB-WC03-572025-row676,60,0,60,2.86,5/7/2025
BB-ZT14-1QQA,BB-ZT14-1QQA-572025-row675,20,0,20,3.12,5/7/2025
0Z-Y60V-499R,0Z-Y60V-499R-572025-row674,12,0,12,1.93,5/7/2025
3Z-03PB-Q1A8,3Z-03PB-Q1A8-572025-row673,12,0,12,1.84,5/7/2025
IJ-V0PQ-4CZ4,IJ-V0PQ-4CZ4-572025-row672,12,0,12,1.97,5/7/2025
VO-A6AR-18YS,VO-A6AR-18YS-572025-row671,6,0,6,1.97,5/7/2025
0R-GRRH-W0Z9,0R-GRRH-W0Z9-572025-row670,12,0,12,1.95,5/7/2025
XG-Z9LW-Z27Q,XG-Z9LW-Z27Q-572025-row669,12,0,12,1.89,5/7/2025
MY-XMO2-EXY1,MY-XMO2-EXY1-562025-row667,15,0,15,9.8,5/6/2025
ZB-PV7O-TKUD,ZB-PV7O-TKUD-050525-row665,9,0,9,20.57,05/05/25
JX-6USZ-SK7E,JX-6USZ-SK7E-050525-row663,5,0,5,18.87,05/05/25
7C-MBEY-QA37,7C-MBEY-QA37-050525-row662,12,0,12,2.62,05/05/25
OI-0483-CBVX,OI-0483-CBVX-050525-row660,70,0,70,1.48,05/05/25
NN-TSZ1-X2RD,NN-TSZ1-X2RD-050525-row659,60,0,60,3.89,05/05/25
GY-FO04-RDYL,GY-FO04-RDYL-050525-row658,10,0,10,3.6,05/05/25
0N-X5KF-213D,0N-X5KF-213D-050525-row657,10,0,10,3.6,05/05/25
MR-727N-ZG8K,MR-727N-ZG8K-050525-row656,10,0,10,2.12,05/05/25
XH-0LAE-FQO5,XH-0LAE-FQO5-050525-row655,120,0,120,2.96,05/05/25
RZ-6ZL9-CZ7J,RZ-6ZL9-CZ7J-050525-row654,75,0,75,2.42,05/05/25
YO-EKK2-FRCC,YO-EKK2-FRCC-050525-row653,10,0,10,3.28,05/05/25
7H-7G2P-ONWJ,7H-7G2P-ONWJ-050525-row652,24,0,24,0.88,05/05/25
BL-WX51-KQOK,BL-WX51-KQOK-050525-row651,10,0,10,3.4,05/05/25
D8-1A3E-I37F,D8-1A3E-I37F-050525-row650,10,0,10,5.58,05/05/25
K0-71JR-UNLF,K0-71JR-UNLF-050525-row649,8,0,8,2.44,05/05/25
Z9-FBUQ-EZN3,Z9-FBUQ-EZN3-050525-row648,30,0,30,2.89,05/05/25
12-3VTE-5T3Z,12-3VTE-5T3Z2,15,0,15,10.23,05/05/25
Z3-ORV9-K8XD,Z3-ORV9-K8XD7,400,0,400,6.56,05/05/25
X1-APP3-4HQ6,X1-APP3-4HQ61,12,0,12,17.0,5/1/2025
G9-GAEI-FQI3,G9-GAEI-FQI33,30,0,30,3.3,01/05/25
N4-5C3G-RJS1,N4-5C3G-RJS14,5,0,5,3.23,01/05/25
JB-RGB6-LZOJ,JB-RGB6-LZOJ7,150,0,150,2.47,01/05/25
XY-SHVR-W7PG,XY-SHVR-W7PG2,35,0,35,1.5,01/05/25
3E-KHO2-YIAU,3E-KHO2-YIAU1,150,0,150,1.7,01/05/25
IR-BP1X-M8DG,IR-BP1X-M8DG1,50,0,50,1.0,01/05/25
86-0EBH-JQX6,86-0EBH-JQX62,46,0,46,19.5,5/1/2025
4W-VS57-BV6A,4W-VS57-BV6A2,30,16,14,18.5,5/1/2025
VA-V4J8-WHCT,VA-V4J8-WHCT2,4,0,4,15.25,5/1/2025
PE-G94Y-4PYO,PE-G94Y-4PYO4,30,0,30,2.86,01/05/25
SU-5LQH-2DVN,SU-5LQH-2DVN4,166,0,166,2.01,01/05/25
A2-T2AC-TW3L,A2-T2AC-TW3L13,340,0,340,4.29,01/05/25
6Q-9G2A-IKVV,6Q-9G2A-IKVV3,144,0,144,7.29,29/04/25
WX-L5UA-UB1Q,WX-L5UA-UB1Q4,400,0,400,1.84,29/04/25
QT-C0ZN-T4R7,QT-C0ZN-T4R72,15,0,15,17.06,29/04/25
49-4UKW-G81R,49-4UKW-G81R5,30,0,30,3.37,29/04/25
D7-MGBX-RX2P,D7-MGBX-RX2P5,80,0,80,2.73,29/04/25
03-7TNF-U2A1,03-7TNF-U2A14,60,0,60,1.4,28/04/25
DC-K5WH-R7F5,DC-K5WH-R7F57,200,0,200,0.63,28/04/25
H6-E7MP-EBPD,H6-E7MP-EBPD2,27,12,15,8.45,24/04/25
VL-48KZ-J3F2,VL-48KZ-J3F22,25,0,25,1.04,23/04/25
SE-IQQJ-EOU3,SE-IQQJ-EOU32,6,0,6,10.31,23/04/25
TA-HQMF-9SUB,TA-HQMF-9SUB5,6,0,6,2.79,23/04/25
NX-YY01-TLFO,NX-YY01-TLFO3,51,0,51,1.61,23/04/25
8L-INBX-OUTU,8L-INBX-OUTU3,12,1,11,2.43,23/04/25
UR-W905-8D8D,UR-W905-8D8D2,42,0,42,2.78,23/04/25
FB-6FW0-Z82Q,FB-6FW0-Z82Q1,10,8,2,1.62,23/04/25
AK-OB6V-HIYD,AK-OB6V-HIYD1,24,0,24,1.21,23/04/25
XE-27ZG-EZPZ,XE-27ZG-EZPZ1,19,18,1,1.23,23/04/25
DO-QDI1-K7R9,DO-QDI1-K7R92,8,2,6,20.07,22/04/25
DV-USYD-8WR2,DV-USYD-8WR25,4,0,4,20.07,22/04/25
Z7-26PV-O9LR,Z7-26PV-O9LR7,150,0,150,2.41,15/04/25
4U-9ZL6-9G0Y,4U-9ZL6-9G0Y6,578,0,578,1.24,14/04/25
TA-HQMF-9SUB,TA-HQMF-9SUB4,8,0,8,2.79,14/04/25
6Z-8POQ-K5XH,6Z-8POQ-K5XH2,9,0,9,2.85,14/04/25
5M-QO6K-LNH0,5M-QO6K-LNH03,45,0,45,2.36,14/04/25
US-AK96-YFSB,US-AK96-YFSB4,18,0,18,1.25,14/04/25
YO-EKK2-FRCC,YO-EKK2-FRCC3,30,12,18,2.38,14/04/25
