Order number_norm,sales,ship_x,promo_x,sb_total,Order ID,price,ship_y,gift,promo_y,our_total,diff
202-1423804-0412333,9.23,-2.08,0.0,7.15,202-1423804-0412333,6.73,2.5,0.0,0.0,9.23,2.08
202-1433529-3973104,13.99,0.0,0.0,13.99,202-1433529-3973104,13.99,0.0,0.0,0.0,13.99,0.0
202-1445594-0329123,7.15,0.0,0.0,7.15,202-1445594-0329123,7.15,0.0,0.0,0.0,7.15,0.0
202-1462677-8649910,8.84,0.0,0.0,8.84,202-1462677-8649910,8.84,0.0,0.0,0.0,8.84,0.0
202-1466415-4369958,8.1,0.0,0.0,8.1,202-1466415-4369958,8.1,0.0,0.0,0.0,8.1,0.0
202-1492243-0556342,8.99,0.0,0.0,8.99,202-1492243-0556342,8.99,0.0,0.0,0.0,8.99,0.0
202-1494126-0108344,27.55,0.0,0.0,27.55,202-1494126-0108344,27.55,0.0,0.0,0.0,27.55,0.0
202-1494268-8127556,6.8,0.0,0.0,6.8,202-1494268-8127556,6.8,0.0,0.0,0.0,6.8,0.0
202-1495895-3331558,26.45,0.0,0.0,26.45,202-1495895-3331558,26.45,0.0,0.0,0.0,26.45,0.0
202-1496545-2486748,6.04,0.0,0.0,6.04,202-1496545-2486748,6.04,0.9,0.0,0.0,6.94,0.9
202-1498605-0246751,4.9,0.0,0.0,4.9,202-1498605-0246751,4.9,0.0,0.0,0.0,4.9,0.0
202-1505016-7965966,5.98,0.0,0.0,5.98,202-1505016-7965966,5.98,0.0,0.0,0.0,5.98,0.0
202-1515594-4062722,5.98,0.0,0.0,5.98,202-1515594-4062722,5.98,0.0,0.0,0.0,5.98,0.0
202-1536101-3769111,16.34,0.0,0.0,16.34,202-1536101-3769111,8.17,0.0,0.0,0.0,8.17,-8.17
202-1541862-4187557,15.94,0.0,0.0,15.94,202-1541862-4187557,7.97,0.4,0.0,0.0,8.37,-7.57
202-1545524-2892317,2.99,0.0,0.0,2.99,202-1545524-2892317,2.99,0.0,0.0,0.0,2.99,0.0
202-1547451-8504365,10.05,0.0,0.0,10.05,202-1547451-8504365,10.05,0.0,0.0,0.0,10.05,0.0
202-1552504-6266756,5.68,0.0,0.0,5.68,202-1552504-6266756,5.68,0.0,0.0,0.0,5.68,0.0
202-1552610-8823552,6.9,0.0,0.0,6.9,202-1552610-8823552,6.9,2.25,0.0,0.0,9.15,2.25
202-1564620-5550728,5.98,0.0,0.0,5.98,202-1564620-5550728,5.98,0.0,0.0,0.0,5.98,0.0
202-1569333-5393954,9.99,0.0,0.0,9.99,202-1569333-5393954,9.99,0.0,0.0,0.0,9.99,0.0
202-1571401-1552357,6.7,0.0,0.0,6.7,202-1571401-1552357,6.7,0.0,0.0,0.0,6.7,0.0
202-1577817-5737137,6.8,0.0,0.0,6.8,202-1577817-5737137,6.8,0.0,0.0,0.0,6.8,0.0
202-1590223-5641930,9.85,0.0,0.0,9.85,202-1590223-5641930,9.85,0.0,0.0,0.0,9.85,0.0
202-1591561-4797909,5.77,0.0,0.0,5.77,202-1591561-4797909,5.77,0.0,0.0,0.0,5.77,0.0
202-1592256-4829104,13.6,0.0,0.0,13.6,202-1592256-4829104,13.6,0.0,0.0,0.0,13.6,0.0
202-1609286-6938722,23.96,0.0,0.0,23.96,202-1609286-6938722,23.96,0.0,0.0,0.0,23.96,0.0
202-1610742-0049933,10.99,0.0,0.0,10.99,202-1610742-0049933,10.99,0.0,0.0,0.0,10.99,0.0
202-1617708-6656369,6.8,0.0,0.0,6.8,202-1617708-6656369,6.8,0.0,0.0,0.0,6.8,0.0
202-1625551-8341933,23.7,0.0,0.0,23.7,202-1625551-8341933,23.7,1.71,0.0,0.0,25.41,1.71
