Date,FNSKU,ASIN,MSKU,Title,Event Type,Reference ID,Quantity,Fulfillment Center,Disposition,Reason,Country,Reconciled Quantity,Unreconciled Quantity,Date and Time
06/08/2026,X00293I5FB,B093FQYQJH,NN-TSZ1-X2RD,"Curaprox CS 12460 Velvet Soft Toothbrush – Sensitive Gum Care | Ultra-Gentle Cleaning with 12,460 Filaments | Single Pack, Random Color | Made in Switzerland",Shipments,,-1,MAN1,SELLABLE,,GB,,,2026-06-08T01:00:00+0100
06/08/2026,X00293I5FB,B093FQYQJH,NN-TSZ1-X2RD,"Curaprox CS 12460 Velvet Soft Toothbrush – Sensitive Gum Care | Ultra-Gentle Cleaning with 12,460 Filaments | Single Pack, Random Color | Made in Switzerland",Shipments,,-1,MAN1,SELLABLE,,GB,,,2026-06-08T01:00:00+0100
06/08/2026,X00290XJ6J,B07CN7NRF7,WJ-YHKC-EES5,Harry Potter - Tattoos (Temporary) - Set of 35 Styles - Official - Cinereplicas,Shipments,,-1,EMA2,SELLABLE,,GB,,,2026-06-08T01:00:00+0100
06/08/2026,X0024FWWTJ,B06WW79DX5,6V-EEC1-2S9Z,3 X Everbuild CYN20 20g General Purpose Industrial Superglue,Shipments,,-1,XLP1,SELLABLE,,GB,,,2026-06-08T01:00:00+0100
06/08/2026,X0024FWWTJ,B06WW79DX5,6V-EEC1-2S9Z,3 X Everbuild CYN20 20g General Purpose Industrial Superglue,Shipments,,-1,XLP1,SELLABLE,,GB,,,2026-06-08T01:00:00+0100
06/08/2026,X0024FWWTJ,B06WW79DX5,6V-EEC1-2S9Z,3 X Everbuild CYN20 20g General Purpose Industrial Superglue,Shipments,,-1,XLP1,SELLABLE,,GB,,,2026-06-08T01:00:00+0100
06/08/2026,X0024FWWTJ,B06WW79DX5,6V-EEC1-2S9Z,3 X Everbuild CYN20 20g General Purpose Industrial Superglue,Shipments,,-1,XLP1,SELLABLE,,GB,,,2026-06-08T01:00:00+0100
06/08/2026,X0024FWWTJ,B06WW79DX5,6V-EEC1-2S9Z,3 X Everbuild CYN20 20g General Purpose Industrial Superglue,Shipments,,-1,XLP1,SELLABLE,,GB,,,2026-06-08T01:00:00+0100
06/08/2026,X0024FWWTJ,B06WW79DX5,6V-EEC1-2S9Z,3 X Everbuild CYN20 20g General Purpose Industrial Superglue,Shipments,,-1,XLP1,SELLABLE,,GB,,,2026-06-08T01:00:00+0100
06/08/2026,X0024FWWTJ,B06WW79DX5,6V-EEC1-2S9Z,3 X Everbuild CYN20 20g General Purpose Industrial Superglue,Shipments,,-1,XLP1,SELLABLE,,GB,,,2026-06-08T01:00:00+0100
