order_id,order_date,seller_sku,quantity,token_id,token_cost,currency,allocation_date,source_level,notes
202-1182693-7792337,2026-01-10T09:24:56Z,WX-L5UA-UB1Q,1,WX-L5UA-UB1Q1-0090,1.61,GBP,2026-01-19T13:53:15Z,3,backdate_all
204-2663705-7484306,2026-01-10T09:28:50Z,WX-L5UA-UB1Q,1,WX-L5UA-UB1Q1-0091,1.61,GBP,2026-01-19T13:53:15Z,3,backdate_all
204-5143555-4634705,2026-01-10T11:04:27Z,WX-L5UA-UB1Q,1,WX-L5UA-UB1Q1-0092,1.61,GBP,2026-01-19T13:53:15Z,3,backdate_all
206-7447522-5339560,2026-01-10T12:14:44Z,WX-L5UA-UB1Q,1,WX-L5UA-UB1Q1-0093,1.61,GBP,2026-01-19T13:53:15Z,3,backdate_all
202-5177748-2109938,2026-01-10T16:03:27Z,WX-L5UA-UB1Q,1,WX-L5UA-UB1Q1-0094,1.61,GBP,2026-01-19T13:53:15Z,3,backdate_all
203-4895375-3011513,2026-01-10T17:33:54Z,WX-L5UA-UB1Q,1,WX-L5UA-UB1Q1-0095,1.61,GBP,2026-01-19T13:53:15Z,3,backdate_all
026-4686554-3419531,2026-01-10T18:36:30Z,WX-L5UA-UB1Q,1,WX-L5UA-UB1Q1-0096,1.61,GBP,2026-01-19T13:53:15Z,3,backdate_all
204-4439028-8362701,2026-01-11T08:31:17Z,WX-L5UA-UB1Q,1,WX-L5UA-UB1Q1-0097,1.61,GBP,2026-01-19T13:53:15Z,2,backdate_all
204-7969833-2209956,2026-01-11T09:23:57Z,WX-L5UA-UB1Q,1,WX-L5UA-UB1Q1-0098,1.61,GBP,2026-01-19T13:53:15Z,2,backdate_all
202-4816308-6922704,2026-01-11T10:22:20Z,WX-L5UA-UB1Q,1,WX-L5UA-UB1Q1-0099,1.61,GBP,2026-01-19T13:53:15Z,2,backdate_all
202-5544674-2695501,2026-01-11T10:55:36Z,WX-L5UA-UB1Q,1,WX-L5UA-UB1Q1-0100,1.61,GBP,2026-01-19T13:53:15Z,2,backdate_all
203-2993585-8697134,2026-01-11T11:22:37Z,WX-L5UA-UB1Q,1,WX-L5UA-UB1Q1-0101,1.61,GBP,2026-01-19T13:53:15Z,2,backdate_all
205-1077954-8987562,2026-01-11T11:31:33Z,WX-L5UA-UB1Q,1,WX-L5UA-UB1Q1-0102,1.61,GBP,2026-01-19T13:53:15Z,2,backdate_all
205-5786464-0281105,2026-01-11T12:31:24Z,WX-L5UA-UB1Q,1,WX-L5UA-UB1Q1-0103,1.61,GBP,2026-01-19T13:53:15Z,2,backdate_all
026-8527235-3894724,2026-01-11T20:29:13Z,WX-L5UA-UB1Q,1,WX-L5UA-UB1Q1-0104,1.61,GBP,2026-01-19T13:53:15Z,2,backdate_all
026-8017166-2936342,2026-01-11T21:10:56Z,WX-L5UA-UB1Q,1,WX-L5UA-UB1Q1-0105,1.61,GBP,2026-01-19T13:53:15Z,2,backdate_all
203-2346752-6209925,2026-01-11T21:49:28Z,WX-L5UA-UB1Q,1,WX-L5UA-UB1Q1-0106,1.61,GBP,2026-01-19T13:53:15Z,2,backdate_all
205-5936907-2402722,2026-01-11T22:12:07Z,WX-L5UA-UB1Q,1,WX-L5UA-UB1Q1-0107,1.61,GBP,2026-01-19T13:53:15Z,2,backdate_all
204-9501936-5352363,2026-01-12T07:12:04Z,WX-L5UA-UB1Q,1,WX-L5UA-UB1Q1-0108,1.61,GBP,2026-01-19T13:53:15Z,2,backdate_all
205-9245928-1374727,2026-01-12T10:46:13Z,WX-L5UA-UB1Q,1,WX-L5UA-UB1Q1-0109,1.61,GBP,2026-01-19T13:53:15Z,2,backdate_all
026-2620947-8933965,2026-01-12T11:10:59Z,WX-L5UA-UB1Q,1,WX-L5UA-UB1Q1-0110,1.61,GBP,2026-01-19T13:53:15Z,2,backdate_all
206-7011653-9063560,2026-01-12T14:42:26Z,WX-L5UA-UB1Q,1,WX-L5UA-UB1Q1-0111,1.61,GBP,2026-01-19T13:53:15Z,2,backdate_all
204-9409185-1453136,2026-01-12T15:27:39Z,WX-L5UA-UB1Q,1,WX-L5UA-UB1Q1-0112,1.61,GBP,2026-01-19T13:53:15Z,2,backdate_all
202-8348302-4778741,2026-01-12T15:31:55Z,WX-L5UA-UB1Q,1,WX-L5UA-UB1Q1-0113,1.61,GBP,2026-01-19T13:53:15Z,2,backdate_all
205-0238000-6058745,2026-01-12T22:23:16Z,WX-L5UA-UB1Q,1,WX-L5UA-UB1Q1-0114,1.61,GBP,2026-01-19T13:53:15Z,2,backdate_all
206-0215957-9305144,2026-01-12T23:54:31Z,WX-L5UA-UB1Q,1,WX-L5UA-UB1Q1-0115,1.61,GBP,2026-01-19T13:53:15Z,2,backdate_all
206-0215957-9305144,2026-01-12T23:54:31Z,WX-L5UA-UB1Q,1,WX-L5UA-UB1Q1-0116,1.61,GBP,2026-01-19T13:53:15Z,2,backdate_all
205-8465086-7197923,2026-01-13T08:54:33Z,WX-L5UA-UB1Q,1,WX-L5UA-UB1Q1-0117,1.61,GBP,2026-01-19T13:53:15Z,2,backdate_all
205-0010865-0173134,2026-01-13T09:03:08Z,WX-L5UA-UB1Q,1,WX-L5UA-UB1Q1-0118,1.61,GBP,2026-01-19T13:53:15Z,2,backdate_all
204-3658690-8873103,2026-01-13T13:20:53Z,WX-L5UA-UB1Q,1,WX-L5UA-UB1Q1-0119,1.61,GBP,2026-01-19T13:53:15Z,2,backdate_all
203-3372451-3477144,2026-01-13T15:39:17Z,WX-L5UA-UB1Q,1,WX-L5UA-UB1Q1-0120,1.61,GBP,2026-01-19T13:53:15Z,2,backdate_all
206-7459459-1431501,2026-01-13T18:17:26Z,WX-L5UA-UB1Q,1,WX-L5UA-UB1Q1-0121,1.61,GBP,2026-01-19T13:53:15Z,2,backdate_all
205-0111623-5667566,2026-01-13T18:39:17Z,WX-L5UA-UB1Q,1,WX-L5UA-UB1Q1-0122,1.61,GBP,2026-01-19T13:53:15Z,2,backdate_all
202-4083928-8239517,2026-01-13T20:09:15Z,WX-L5UA-UB1Q,1,WX-L5UA-UB1Q1-0123,1.61,GBP,2026-01-19T13:53:15Z,2,backdate_all
206-4312339-7341126,2026-01-13T20:16:51Z,WX-L5UA-UB1Q,1,WX-L5UA-UB1Q1-0124,1.61,GBP,2026-01-19T13:53:15Z,2,backdate_all
