order_id,currency,principal,shipping,giftwrap,tax,shipping_tax,giftwrap_tax,referral_fee,referral_fee_tax,fba_fee,fba_fee_tax,dsf_fee,dsf_fee_tax,fixed_fee,other_fee,posted_date,settlement_id
205-7304286-1218753,GBP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025-12-11T21:21:59Z,205-7304286-1218753
205-7500310-4675501,GBP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025-12-11T23:09:49Z,205-7500310-4675501
205-8986897-1306746,GBP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025-12-11T22:38:49Z,205-8986897-1306746
205-9007194-7276361,GBP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025-12-11T21:59:18Z,205-9007194-7276361
205-9953143-2785900,GBP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025-12-11T21:21:47Z,205-9953143-2785900
205-9993541-4183546,GBP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025-12-11T22:08:45Z,205-9993541-4183546
206-0115166-7262732,GBP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025-12-11T21:42:17Z,206-0115166-7262732
206-0164904-4909121,GBP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025-12-11T19:38:13Z,206-0164904-4909121
206-0728841-6683505,GBP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025-12-11T18:22:55Z,206-0728841-6683505
206-0898298-1990760,GBP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025-12-11T20:51:34Z,206-0898298-1990760
206-1002969-4483539,GBP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025-12-11T20:28:31Z,206-1002969-4483539
206-1572651-1869127,GBP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025-12-11T21:49:41Z,206-1572651-1869127
206-3859445-9816358,GBP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025-12-11T21:55:50Z,206-3859445-9816358
206-3930634-3321166,GBP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025-12-11T23:29:42Z,206-3930634-3321166
206-5349874-1345962,GBP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025-12-11T22:48:01Z,206-5349874-1345962
206-6495575-7264344,GBP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025-12-11T20:39:40Z,206-6495575-7264344
206-6553061-4257946,GBP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025-12-12T10:07:58Z,206-6553061-4257946
206-6654663-9578711,GBP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025-12-11T17:29:07Z,206-6654663-9578711
206-6913480-7480319,GBP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025-12-11T17:49:20Z,206-6913480-7480319
206-7870969-4115527,GBP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025-12-11T23:33:08Z,206-7870969-4115527
206-8414668-9105905,GBP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025-12-11T22:31:46Z,206-8414668-9105905
206-9793503-8724348,GBP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025-12-12T10:24:55Z,206-9793503-8724348
