order_id,asin,sku,posted_date,transaction_type,amount_type,is_fee,amount,currency,tax_amount,tax_currency,tax_present
026-8466930-0174730,,G8-L8EI-INMK,2025-11-10T18:21:09Z,Refund,Refund_VariableClosingFee,True,,GBP,,,False
026-8466930-0174730,,G8-L8EI-INMK,2025-11-10T18:21:09Z,Refund,Refund_DigitalServicesFee,True,0.01,GBP,,,False
205-0539489-8746700,,OT-3LZR-3R6K,2025-11-11T14:56:01Z,Refund,Refund_Tax,False,-5.0,GBP,,,False
205-0539489-8746700,,OT-3LZR-3R6K,2025-11-11T14:56:01Z,Refund,Refund_Principal,False,-24.99,GBP,,,False
205-0539489-8746700,,OT-3LZR-3R6K,2025-11-11T14:56:01Z,Refund,Refund_Commission,True,5.4,GBP,,,False
205-0539489-8746700,,OT-3LZR-3R6K,2025-11-11T14:56:01Z,Refund,Refund_FixedClosingFee,True,,GBP,,,False
205-0539489-8746700,,OT-3LZR-3R6K,2025-11-11T14:56:01Z,Refund,Refund_GiftwrapChargeback,True,,GBP,,,False
205-0539489-8746700,,OT-3LZR-3R6K,2025-11-11T14:56:01Z,Refund,Refund_RefundCommission,True,-1.08,GBP,,,False
205-0539489-8746700,,OT-3LZR-3R6K,2025-11-11T14:56:01Z,Refund,Refund_ShippingChargeback,True,,GBP,,,False
205-0539489-8746700,,OT-3LZR-3R6K,2025-11-11T14:56:01Z,Refund,Refund_VariableClosingFee,True,,GBP,,,False
205-0539489-8746700,,OT-3LZR-3R6K,2025-11-11T14:56:01Z,Refund,Refund_DigitalServicesFee,True,0.11,GBP,,,False
