order_id,posted_date,settlement_id,amount_type,amount,currency,transaction_type,amount_description,is_estimate,data_level,price_source,raw_json
202-2707559-5892333,2025-12-09T11:53:20Z,,Principal,6.2,GBP,Estimated,Estimated product charges,1,customer_known,none,"{""generated_at"":""2025-12-12T14:36:52.396652+00:00"",""order_id"":""202-2707559-5892333"",""source_used"":""missing_fee_data"",""missing_fee_data"":true,""amount_type"":""Principal""}"
202-2707559-5892333,2025-12-09T11:53:20Z,,Tax,1.03,GBP,Estimated,Estimated product tax,1,customer_known,none,"{""generated_at"":""2025-12-12T14:36:52.396652+00:00"",""order_id"":""202-2707559-5892333"",""source_used"":""missing_fee_data"",""missing_fee_data"":true,""amount_type"":""Tax""}"
202-5671296-6641925,2025-12-09T21:30:47Z,,Principal,6.7,GBP,Estimated,Estimated product charges,1,customer_known,none,"{""generated_at"":""2025-12-12T14:36:52.397652+00:00"",""order_id"":""202-5671296-6641925"",""source_used"":""missing_fee_data"",""missing_fee_data"":true,""amount_type"":""Principal""}"
202-5671296-6641925,2025-12-09T21:30:47Z,,Tax,1.12,GBP,Estimated,Estimated product tax,1,customer_known,none,"{""generated_at"":""2025-12-12T14:36:52.397652+00:00"",""order_id"":""202-5671296-6641925"",""source_used"":""missing_fee_data"",""missing_fee_data"":true,""amount_type"":""Tax""}"
206-7230763-2581103,2025-12-09T20:42:31Z,,Principal,17.34,GBP,Estimated,Estimated product charges,1,customer_known,none,"{""generated_at"":""2025-12-12T14:36:52.397652+00:00"",""order_id"":""206-7230763-2581103"",""source_used"":""missing_fee_data"",""missing_fee_data"":true,""amount_type"":""Principal""}"
206-7230763-2581103,2025-12-09T20:42:31Z,,Tax,2.9,GBP,Estimated,Estimated product tax,1,customer_known,none,"{""generated_at"":""2025-12-12T14:36:52.397652+00:00"",""order_id"":""206-7230763-2581103"",""source_used"":""missing_fee_data"",""missing_fee_data"":true,""amount_type"":""Tax""}"
203-9444420-0326703,2025-12-09T22:58:26Z,,Principal,10.99,GBP,Estimated,Estimated product charges,1,customer_known,none,"{""generated_at"":""2025-12-12T14:36:52.399655+00:00"",""order_id"":""203-9444420-0326703"",""source_used"":""missing_fee_data"",""missing_fee_data"":true,""amount_type"":""Principal""}"
203-9444420-0326703,2025-12-09T22:58:26Z,,Tax,1.83,GBP,Estimated,Estimated product tax,1,customer_known,none,"{""generated_at"":""2025-12-12T14:36:52.399655+00:00"",""order_id"":""203-9444420-0326703"",""source_used"":""missing_fee_data"",""missing_fee_data"":true,""amount_type"":""Tax""}"
205-3233861-6449951,2025-12-08T17:41:30Z,,Principal,2.97,GBP,Estimated,Estimated product charges,1,customer_known,none,"{""generated_at"":""2025-12-12T14:36:52.399655+00:00"",""order_id"":""205-3233861-6449951"",""source_used"":""missing_fee_data"",""missing_fee_data"":true,""amount_type"":""Principal""}"
205-3233861-6449951,2025-12-08T17:41:30Z,,Tax,0.5,GBP,Estimated,Estimated product tax,1,customer_known,none,"{""generated_at"":""2025-12-12T14:36:52.399655+00:00"",""order_id"":""205-3233861-6449951"",""source_used"":""missing_fee_data"",""missing_fee_data"":true,""amount_type"":""Tax""}"
203-0556080-8957919,2025-12-10T16:11:15Z,,Principal,6.58,GBP,Estimated,Estimated product charges,1,customer_known,none,"{""generated_at"":""2025-12-12T14:36:52.400655+00:00"",""order_id"":""203-0556080-8957919"",""source_used"":""missing_fee_data"",""missing_fee_data"":true,""amount_type"":""Principal""}"
203-0556080-8957919,2025-12-10T16:11:15Z,,Tax,1.1,GBP,Estimated,Estimated product tax,1,customer_known,none,"{""generated_at"":""2025-12-12T14:36:52.400655+00:00"",""order_id"":""203-0556080-8957919"",""source_used"":""missing_fee_data"",""missing_fee_data"":true,""amount_type"":""Tax""}"
202-8298326-7208323,2025-12-10T15:11:24Z,,Principal,6.58,GBP,Estimated,Estimated product charges,1,customer_known,none,"{""generated_at"":""2025-12-12T14:36:52.400655+00:00"",""order_id"":""202-8298326-7208323"",""source_used"":""missing_fee_data"",""missing_fee_data"":true,""amount_type"":""Principal""}"
202-8298326-7208323,2025-12-10T15:11:24Z,,Tax,1.1,GBP,Estimated,Estimated product tax,1,customer_known,none,"{""generated_at"":""2025-12-12T14:36:52.400655+00:00"",""order_id"":""202-8298326-7208323"",""source_used"":""missing_fee_data"",""missing_fee_data"":true,""amount_type"":""Tax""}"
203-6859867-3174732,2025-12-10T02:07:44Z,,Principal,8.67,GBP,Estimated,Estimated product charges,1,customer_known,none,"{""generated_at"":""2025-12-12T14:36:52.401652+00:00"",""order_id"":""203-6859867-3174732"",""source_used"":""missing_fee_data"",""missing_fee_data"":true,""amount_type"":""Principal""}"
203-6859867-3174732,2025-12-10T02:07:44Z,,Tax,1.45,GBP,Estimated,Estimated product tax,1,customer_known,none,"{""generated_at"":""2025-12-12T14:36:52.401652+00:00"",""order_id"":""203-6859867-3174732"",""source_used"":""missing_fee_data"",""missing_fee_data"":true,""amount_type"":""Tax""}"
206-5962197-6085157,2025-12-10T13:13:29Z,,Principal,2.97,GBP,Estimated,Estimated product charges,1,customer_known,none,"{""generated_at"":""2025-12-12T14:36:52.401652+00:00"",""order_id"":""206-5962197-6085157"",""source_used"":""missing_fee_data"",""missing_fee_data"":true,""amount_type"":""Principal""}"
206-5962197-6085157,2025-12-10T13:13:29Z,,Tax,0.5,GBP,Estimated,Estimated product tax,1,customer_known,none,"{""generated_at"":""2025-12-12T14:36:52.401652+00:00"",""order_id"":""206-5962197-6085157"",""source_used"":""missing_fee_data"",""missing_fee_data"":true,""amount_type"":""Tax""}"
206-5962197-6085157,2025-12-10T13:13:29Z,,ShippingCharge,0.71,GBP,Estimated,Estimated shipping charge,1,customer_known,none,"{""generated_at"":""2025-12-12T14:36:52.401652+00:00"",""order_id"":""206-5962197-6085157"",""source_used"":""missing_fee_data"",""missing_fee_data"":true,""amount_type"":""ShippingCharge""}"
206-5962197-6085157,2025-12-10T13:13:29Z,,ShippingChargeback,-0.71,GBP,Estimated,Estimated shipping rebate,1,customer_known,none,"{""generated_at"":""2025-12-12T14:36:52.401652+00:00"",""order_id"":""206-5962197-6085157"",""source_used"":""missing_fee_data"",""missing_fee_data"":true,""amount_type"":""ShippingChargeback""}"
