order_id,posted_date,settlement_id,amount_type,amount,currency
203-9455319-9937952,2025-12-11T20:15:24Z,203-9455319-9937952,FixedClosingFee,,GBP
203-9455319-9937952,2025-12-11T20:15:24Z,203-9455319-9937952,GiftwrapChargeback,,GBP
203-9455319-9937952,2025-12-11T20:15:24Z,203-9455319-9937952,ShippingChargeback,,GBP
203-9455319-9937952,2025-12-11T20:15:24Z,203-9455319-9937952,VariableClosingFee,,GBP
203-9455319-9937952,2025-12-11T20:15:24Z,203-9455319-9937952,DigitalServicesFee,,GBP
204-2180773-1373911,2025-12-11T20:24:18Z,204-2180773-1373911,Principal,,GBP
204-2180773-1373911,2025-12-11T20:24:18Z,204-2180773-1373911,Tax,,GBP
204-2180773-1373911,2025-12-11T20:24:18Z,204-2180773-1373911,GiftWrap,,GBP
204-2180773-1373911,2025-12-11T20:24:18Z,204-2180773-1373911,GiftWrapTax,,GBP
204-2180773-1373911,2025-12-11T20:24:18Z,204-2180773-1373911,ShippingCharge,,GBP
204-2180773-1373911,2025-12-11T20:24:18Z,204-2180773-1373911,ShippingTax,,GBP
204-2180773-1373911,2025-12-11T20:24:18Z,204-2180773-1373911,FBAPerUnitFulfillmentFee,,GBP
204-2180773-1373911,2025-12-11T20:24:18Z,204-2180773-1373911,Commission,,GBP
204-2180773-1373911,2025-12-11T20:24:18Z,204-2180773-1373911,FixedClosingFee,,GBP
204-2180773-1373911,2025-12-11T20:24:18Z,204-2180773-1373911,GiftwrapChargeback,,GBP
204-2180773-1373911,2025-12-11T20:24:18Z,204-2180773-1373911,ShippingChargeback,,GBP
204-2180773-1373911,2025-12-11T20:24:18Z,204-2180773-1373911,VariableClosingFee,,GBP
204-2180773-1373911,2025-12-11T20:24:18Z,204-2180773-1373911,DigitalServicesFee,,GBP
206-1002969-4483539,2025-12-11T20:28:31Z,206-1002969-4483539,Principal,,GBP
206-1002969-4483539,2025-12-11T20:28:31Z,206-1002969-4483539,Tax,,GBP
206-1002969-4483539,2025-12-11T20:28:31Z,206-1002969-4483539,GiftWrap,,GBP
206-1002969-4483539,2025-12-11T20:28:31Z,206-1002969-4483539,GiftWrapTax,,GBP
206-1002969-4483539,2025-12-11T20:28:31Z,206-1002969-4483539,ShippingCharge,,GBP
206-1002969-4483539,2025-12-11T20:28:31Z,206-1002969-4483539,ShippingTax,,GBP
206-1002969-4483539,2025-12-11T20:28:31Z,206-1002969-4483539,FBAPerUnitFulfillmentFee,,GBP
206-1002969-4483539,2025-12-11T20:28:31Z,206-1002969-4483539,Commission,,GBP
206-1002969-4483539,2025-12-11T20:28:31Z,206-1002969-4483539,FixedClosingFee,,GBP
206-1002969-4483539,2025-12-11T20:28:31Z,206-1002969-4483539,GiftwrapChargeback,,GBP
206-1002969-4483539,2025-12-11T20:28:31Z,206-1002969-4483539,ShippingChargeback,,GBP
206-1002969-4483539,2025-12-11T20:28:31Z,206-1002969-4483539,VariableClosingFee,,GBP
202-1638024-1644346,2025-12-11T20:29:29Z,202-1638024-1644346,Principal,,GBP
202-1638024-1644346,2025-12-11T20:29:29Z,202-1638024-1644346,Tax,,GBP
202-1638024-1644346,2025-12-11T20:29:29Z,202-1638024-1644346,GiftWrap,,GBP
202-1638024-1644346,2025-12-11T20:29:29Z,202-1638024-1644346,GiftWrapTax,,GBP
202-1638024-1644346,2025-12-11T20:29:29Z,202-1638024-1644346,ShippingCharge,,GBP
202-1638024-1644346,2025-12-11T20:29:29Z,202-1638024-1644346,ShippingTax,,GBP
202-1638024-1644346,2025-12-11T20:29:29Z,202-1638024-1644346,FBAPerUnitFulfillmentFee,,GBP
202-1638024-1644346,2025-12-11T20:29:29Z,202-1638024-1644346,Commission,,GBP
202-1638024-1644346,2025-12-11T20:29:29Z,202-1638024-1644346,FixedClosingFee,,GBP
202-1638024-1644346,2025-12-11T20:29:29Z,202-1638024-1644346,GiftwrapChargeback,,GBP
202-1638024-1644346,2025-12-11T20:29:29Z,202-1638024-1644346,ShippingChargeback,,GBP
202-1638024-1644346,2025-12-11T20:29:29Z,202-1638024-1644346,VariableClosingFee,,GBP
202-1638024-1644346,2025-12-11T20:29:29Z,202-1638024-1644346,DigitalServicesFee,,GBP
026-6229365-6067533,2025-12-11T20:30:44Z,026-6229365-6067533,Principal,,GBP
026-6229365-6067533,2025-12-11T20:30:44Z,026-6229365-6067533,Tax,,GBP
026-6229365-6067533,2025-12-11T20:30:44Z,026-6229365-6067533,GiftWrap,,GBP
