asof_utc,seller_sku,asin,cpt_status,cpt_gbp,our_live_price_gbp,last_sold_price_gbp,price_reference_gbp,price_reference_source,delta_cpt_minus_reference_gbp,group_ab,cpt_error_summary
2026-02-14T10:00:23Z,0G-0234-E9NG,,,,,,,,,UNKNOWN,
2026-02-14T10:00:23Z,3X-9BNK-4A9V,,,,,,,,,UNKNOWN,
2026-02-14T10:00:23Z,ML-L9EE-YFAW,,,,,,,,,UNKNOWN,
2026-02-14T10:00:23Z,RZ-QO7D-HPGQ,,,,,,,,,UNKNOWN,
2026-02-14T10:00:23Z,8G-5YVC-GJ6P,,,,,,,,,UNKNOWN,
2026-02-14T10:00:23Z,9I-A0BY-EW0X,,,,,,,,,UNKNOWN,
2026-02-14T10:00:23Z,YV-2E21-62SB,,,,,,,,,UNKNOWN,
2026-02-14T10:00:23Z,RX-E62R-OEMW,,,,,,,,,UNKNOWN,
2026-02-14T10:00:23Z,SE-GMXY-FA0M,,,,,,,,,UNKNOWN,
2026-02-14T10:00:23Z,EQ-EZL7-FAU3,,,,,,,,,UNKNOWN,
2026-02-14T10:00:23Z,S8-3SXM-Y0JF,,,,,,,,,UNKNOWN,
2026-02-14T10:00:23Z,R4-IXFX-2AQQ,,,,,,,,,UNKNOWN,
2026-02-14T10:00:23Z,U8-RDSV-JZ7U,,,,,,,,,UNKNOWN,
2026-02-14T10:00:23Z,3M-SOO9-5R17,,,,,,,,,UNKNOWN,
2026-02-14T10:00:23Z,K7-L390-M667,,,,,,,,,UNKNOWN,
2026-02-14T10:00:23Z,50-U3CD-LWFE,,,,,,,,,UNKNOWN,
2026-02-14T10:00:23Z,T8-R745-DYOV,,,,,,,,,UNKNOWN,
2026-02-14T10:00:23Z,F7-3B20-C9TW,,,,,,,,,UNKNOWN,
2026-02-14T10:00:23Z,9G-57PS-EN16,,,,,,,,,UNKNOWN,
2026-02-14T10:00:23Z,08-3ABG-PL11,,,,,,,,,UNKNOWN,
2026-02-14T10:00:23Z,UG-OV2U-0MBJ,,,,,,,,,UNKNOWN,
2026-02-14T10:00:23Z,D3-R4XE-XV0R,,,,,,,,,UNKNOWN,
2026-02-14T10:00:23Z,X6-7E52-0VB3,,,,,,,,,UNKNOWN,
2026-02-14T10:00:23Z,SY-KXX7-PDAL,,,,,,,,,UNKNOWN,
2026-02-14T10:00:23Z,LW-0BSW-ZD88,,,,,,,,,UNKNOWN,
2026-02-14T10:00:23Z,TE-PYY9-E5X8,,,,,,,,,UNKNOWN,
2026-02-14T10:00:23Z,TK-2H97-E7UH,,,,,,,,,UNKNOWN,
2026-02-14T10:00:23Z,ZU-VG38-OF3L,,,,,,,,,UNKNOWN,
2026-02-14T10:00:23Z,1D-E3I8-TUK8,,,,,,,,,UNKNOWN,
2026-02-14T10:00:23Z,V0-8QPG-0A04,,,,,,,,,UNKNOWN,
2026-02-14T10:00:23Z,V5-VWRV-4S7K,,,,,,,,,UNKNOWN,
2026-02-14T10:00:23Z,8N-DRTH-Z7K0,,,,,,,,,UNKNOWN,
2026-02-14T10:00:23Z,JA-LKQX-7YEN,,,,,,,,,UNKNOWN,
2026-02-14T10:00:23Z,FY-HXC0-DSPO,,,,,,,,,UNKNOWN,
2026-02-14T10:00:23Z,96-FPCV-82R1,,,,,,,,,UNKNOWN,
2026-02-14T10:00:23Z,YB-QDA8-VS05,,,,,,,,,UNKNOWN,
2026-02-14T10:00:23Z,YG-H850-FPEW,,,,,,,,,UNKNOWN,
2026-02-14T10:00:23Z,X4-FG91-H4MR,,,,,,,,,UNKNOWN,
2026-02-14T10:00:23Z,YI-3CHP-LJOZ,,,,,,,,,UNKNOWN,
2026-02-14T10:00:23Z,YP-C2ZB-ES8H,,,,,,,,,UNKNOWN,
2026-02-14T10:00:23Z,Z7-VYUL-255V,,,,,,,,,UNKNOWN,
2026-02-14T10:00:23Z,ZA-4RO9-GD8M,,,,,,,,,UNKNOWN,
2026-02-14T10:00:23Z,ZB-SIAQ-2V7L,,,,,,,,,UNKNOWN,
2026-02-14T10:00:23Z,1S-ZFUI-RE1A,,,,,,,,,UNKNOWN,
2026-02-14T10:00:23Z,0W-VJRK-9VCG,,,,,,,,,UNKNOWN,
2026-02-14T10:00:23Z,E8-MXNZ-4UKU,,,,,,,,,UNKNOWN,
2026-02-14T10:00:23Z,EL-1QQR-J77R,,,,,,,,,UNKNOWN,
2026-02-14T10:00:23Z,AQ-QMA9-SLHK,,,,,,,,,UNKNOWN,
2026-02-14T10:00:23Z,C5-V0VF-ZQAV,,,,,,,,,UNKNOWN,
2026-02-14T10:00:23Z,VZ-MTBC-3AJ6,,,,,,,,,UNKNOWN,
2026-02-14T10:00:23Z,D9-42IB-HEVC,,,,,,,,,UNKNOWN,
2026-02-14T10:00:23Z,LX-K206-ENZX,,,,,,,,,UNKNOWN,
2026-02-14T10:00:23Z,X1-68KO-184Y,,,,,,,,,UNKNOWN,
2026-02-14T10:00:23Z,3A-T942-KVZH,,,,,,,,,UNKNOWN,
2026-02-14T10:00:23Z,Y0-Q6YF-SIEG,,,,,,,,,UNKNOWN,
2026-02-14T10:00:23Z,FY-L1AO-4YOT,,,,,,,,,UNKNOWN,
2026-02-14T10:00:23Z,ZP-F5C8-7ZCG,,,,,,,,,UNKNOWN,
2026-02-14T10:00:23Z,KJ-T17P-5CVS,,,,,,,,,UNKNOWN,
2026-02-14T10:00:23Z,Approval-1,,,,,,,,,UNKNOWN,
2026-02-14T10:00:23Z,L7-ZGYU-IWOW,,,,,,,,,UNKNOWN,
2026-02-14T10:00:23Z,XX-ISP6-LTOY,,,,,,,,,UNKNOWN,
2026-02-14T10:00:23Z,8R-0UT9-SEOY,,,,,,,,,UNKNOWN,
2026-02-14T10:00:23Z,7C-MBEY-QA37,,,,,,,,,UNKNOWN,
2026-02-14T10:00:23Z,QS-V8XL-25CO,,,,,,,,,UNKNOWN,
2026-02-14T10:00:23Z,L3-OHWF-OL4P,,,,,,,,,UNKNOWN,
2026-02-14T10:00:23Z,VA-7T3X-R64D,,,,,,,,,UNKNOWN,
2026-02-14T10:00:23Z,Y3-RYVT-A6Y8,,,,12.03,,12.03,live_listing_price,,UNKNOWN,
2026-02-14T10:00:23Z,ZU-RET1-5CSU,,,,,,,,,UNKNOWN,
2026-02-14T10:00:23Z,62-2H0B-RRR3,,,,,,,,,UNKNOWN,
2026-02-14T10:00:23Z,R9-20LM-YJL9,,,,,,,,,UNKNOWN,
2026-02-14T10:00:23Z,B7-D9X9-FWYR,,,,,,,,,UNKNOWN,
2026-02-14T10:00:23Z,5R-LL8J-AP4S,,,,,,,,,UNKNOWN,
2026-02-14T10:00:23Z,3C-HIAR-JEF0,,,,,,,,,UNKNOWN,
2026-02-14T10:00:23Z,CLFAPPLY1,,,,,,,,,UNKNOWN,
2026-02-14T10:00:23Z,---,,,,,,,,,UNKNOWN,
2026-02-14T10:00:23Z,C7-D8C6-UWDV,,,,,,,,,UNKNOWN,
2026-02-14T10:00:23Z,RI-DHUT-XR75,,,,,,,,,UNKNOWN,
2026-02-14T10:00:23Z,Y2-A0XO-9DCH,,,,,,,,,UNKNOWN,
2026-02-14T10:00:23Z,JP-9X4T-0CCC,,,,,,,,,UNKNOWN,
2026-02-14T10:00:23Z,9Q-K2SI-Q5LI,,,,,,,,,UNKNOWN,
2026-02-14T10:00:23Z,2Z-WVXG-I7W1,,,,,,,,,UNKNOWN,
2026-02-14T10:00:23Z,E1-W7LJ-CUKO,,,,,,,,,UNKNOWN,
2026-02-14T10:00:23Z,U4-Z3VT-1WNS,,,,,,,,,UNKNOWN,
2026-02-14T10:00:23Z,6S-TT0C-48SV,,,,,,,,,UNKNOWN,
2026-02-14T10:00:23Z,N2-I82D-3I3Q,,,,,,,,,UNKNOWN,
2026-02-14T10:00:23Z,GZ-0NY2-BOHL,,,,,,,,,UNKNOWN,
2026-02-14T10:00:23Z,S2-RZ4R-15M6,,,,,,,,,UNKNOWN,
2026-02-14T10:00:23Z,VU-UQNN-35C8,,,,9.97,,9.97,live_listing_price,,UNKNOWN,
2026-02-14T10:00:23Z,Apply2,,,,,,,,,UNKNOWN,
2026-02-14T10:00:23Z,Apply-B0CSGSCWTP,,,,,,,,,UNKNOWN,
2026-02-14T10:00:23Z,Apply-B0CSH9HXQ5,,,,,,,,,UNKNOWN,
2026-02-14T10:00:23Z,REJECT,,,,,,,,,UNKNOWN,
2026-02-14T10:00:23Z,UE-BZE5-I0WM,,,,,,,,,UNKNOWN,
2026-02-14T10:00:23Z,FBA15K3QTGNT_unexpected_item_01,B07RRQX71T,OK,7.29,5.14,4.98,5.14,live_listing_price,2.15,A,
2026-02-14T10:00:23Z,PT-7SUD-DDSG,B09NQ9ZHDQ,ERROR,,8.99,,8.99,live_listing_price,,UNKNOWN,http_429
2026-02-14T10:00:23Z,3Z-03PB-Q1A8,B09NQ9ZHDQ,ERROR,,6.79,,6.79,live_listing_price,,UNKNOWN,http_429
2026-02-14T10:00:23Z,3Q-JVVB-BIT7,0786964502,ERROR,,38.43,,38.43,live_listing_price,,UNKNOWN,http_429
2026-02-14T10:00:23Z,02-7AZG-O0CV,B01N31JDVX,MISSING,,2.99,2.99,2.99,live_listing_price,,UNKNOWN,
2026-02-14T10:00:23Z,03-7TNF-U2A1,B08C34199M,ERROR,,4.10,,4.10,live_listing_price,,UNKNOWN,http_429
