Date,Order ID,SKU,Quantity Ordered,Price_Total,Price_VAT,Price_ExVAT,Shipping_Total,Shipping_VAT,Shipping_ExVAT,Gift_Total,Gift_VAT,Gift_ExVAT,Promotion_Total,Promotion_VAT,Promotion_ExVAT,FBA_Fee_Total,FBA_Fee_VAT,FBA_Fee_ExVAT,Commission_Total,Commission_VAT,Commission_ExVAT,Digital_Fee_Total,Digital_Fee_VAT,Digital_Fee_ExVAT,FixedClosingFee_Total,FixedClosingFee_VAT,FixedClosingFee_ExVAT
2025-12-11T05:38:58Z,204-7322200-4408317,3X-EXDD-TD2K,1,-48.47,-8.08,-40.39,,,,,,,,,,,,,6.99,1.17,5.82,,,,,,
2025-12-11T17:12:04Z,205-1149871-8245100,PY-XV78-3OG5,2,-34.99,-6.54,-28.45,,,,,,,,,,,,,6.05,1.01,5.04,0.14,0.02,0.12,,,
2025-12-12T11:39:11Z,203-5048982-4125162,3X-EXDD-TD2K,1,-49.99,-8.33,-41.66,,,,,,,,,,,,,7.20,1.20,6.00,0.18,0.03,0.15,,,
2025-12-12T17:56:55Z,203-7995244-0212302,IB-U5FA-BO2Y,1,-44.99,-7.50,-37.49,,,,,,,,,,,,,6.48,1.08,5.40,0.17,0.03,0.14,,,
2025-12-12T22:54:41Z,205-2213881-5580338,Z3-ORV9-K8XD,1,-14.11,-2.35,-11.76,,,,,,,,,,,,,2.04,0.34,1.70,0.04,0.01,0.03,,,
2025-12-13T15:30:45Z,206-7408453-1269944,WX-L5UA-UB1Q,1,-5.98,-1.00,-4.98,,,,,,,,,,,,,0.74,0.12,0.62,0.02,0.00,0.02,,,
2025-12-13T22:28:14Z,204-0628946-3154734,VF-3T0K-DR5O,3,-15.09,-2.52,-12.57,,,,,,,,,,,,,1.15,0.19,0.96,0.03,0.01,0.02,,,
2025-12-14T20:26:43Z,203-1158954-1668303,XH-0LAE-FQO5,1,-7.01,-1.17,-5.84,,,,,,,,,,,,,0.54,0.09,0.45,0.01,0.00,0.01,,,
2025-12-15T20:14:27Z,026-7054644-9725117,6V-EEC1-2S9Z,1,-13.60,-2.26,-11.34,,,,,,,,,,,,,1.66,0.28,1.38,,,,,,
2025-12-16T17:41:31Z,206-1129646-8979558,SU-JM8R-2U82,1,-31.50,-5.26,-26.24,-4.98,-0.84,-4.14,,,,,,,,,,3.94,0.66,3.28,0.18,0.03,0.15,,,
2025-12-17T04:17:50Z,203-0387202-4072306,DC-K5WH-R7F5,1,-6.00,-1.00,-5.00,,,,,,,,,,,,,0.48,0.08,0.40,0.02,0.00,0.02,,,
2025-12-17T10:10:19Z,403-0324237-7264339,Z3-ORV9-K8XD,1,-30.38,-5.68,-24.70,-7.98,-1.50,-6.48,,,,,,,,,,4.36,0.73,3.63,,,,,,
