"Product";"ASIN";"SKU";"Units";"Refunds";"Sales";"Promo";"Ads";"Sponsored products (PPC)";"Sponsored Display";"Sponsored brands (HSA)";"Sponsored Brands Video";"Google ads";"Facebook ads";"% Refunds";"Sellable Quota";"Refund сost";"Amazon fees";"Cost of Goods";"VAT";"Shipping";"Gross profit";"Net profit";"Estimated payout";"Expenses";"Margin";"ROI";"BSR";"Real ACOS";"Sessions";"Unit Session Percentage"
"Plaque Glo Plaque Disclosing Toothpaste and Torch System (Tropical) COG: 4.2 / Price: 8.7";"B07J9JGZZV";"Z7-26PV-O9LR";"1";"";"8.7";"";"";"";"";"";"";"";"";"";"-";"";"-2.39";"-4.2";"-1.45";"";"0.66";"0.66";"6.31";"";"7.59";"15.71";"17 965";"";"128";"0.78"
"Bosch 2608831003 ""SDS Plus-3"" Hammer Drill Bit, 0 V, Grey, 5 x 100 x 160 mm COG: 1.8 / Price: 5.8";"B00D1V5FPU";"8M-LM6B-F2Q5";"2";"";"11.51";"";"";"";"";"";"";"";"";"";"-";"";"-4.97";"-3.6";"-1.92";"-0.55";"0.47";"0.47";"5.99";"";"4.08";"13.06";"3 467";"";"28";"7.14"
"Ultra Pro - Eclipse Pro 100+ Deck Box - Jet Black COG: 1.72 / Price: 6.73";"B07JXBDGJB";"JE-D4LO-O2JD";"4";"";"26.92";"";"";"";"";"";"";"";"";"";"-";"";"-15.18";"-6.88";"-4.49";"";"0.37";"0.37";"11.74";"";"1.37";"5.38";"228 441";"";"58";"6.90"
"Curaprox CS 5460 Ortho (Sortiert), Pack of 1 Unit COG: 2.99 / Price: 6.52";"B004J71OSC";"W3-8FN7-FSP0";"1";"";"6.52";"";"";"";"";"";"";"";"";"";"-";"";"-2.01";"-2.99";"-1.22";"";"0.30";"0.30";"4.51";"";"4.60";"10.03";"158 578";"";"13";"7.69"
"Curaprox PerioPlus+ Focus Gel – Targeted Gum Care | Supports Healing with CHX and Hyaluronic Acid | 10 ml Tube | Designed in Switzerland COG: 2.93 / Price: 6.27";"B07T9WVBZ2";"8U-QPFH-3EKQ";"1";"";"6.27";"";"";"";"";"";"";"";"";"";"-";"";"-2.01";"-2.93";"-1.05";"";"0.29";"0.29";"4.27";"";"4.63";"9.90";"738";"";"5 805";"0.02"
"ProDec Combination Shavehook for Removing Paint and Varnish from Flat and Irregular Surfaces COG: 2.18 / Price: 7.44";"B00S9IXBVU";"X7-MY4W-H2I4";"1";"";"7.44";"";"";"";"";"";"";"";"";"";"-";"";"-3.74";"-2.18";"-1.24";"";"0.28";"0.28";"3.7";"";"3.76";"12.84";"15 681";"";"266";"0.38"
"Fackelmann OPAL Hand Grater, Fine Lemon & Lime Zester, Chocolate & Parmesan Grater, Sharp Durable Grating Blade, Stainless Steel, 24x5.5x1.5cm, Silver COG: 1.24 / Price: 4.52";"B002DPGTF0";"US-AK96-YFSB";"1";"";"4.52";"";"";"";"";"";"";"";"";"";"-";"";"-2.42";"-1.24";"-0.75";"";"0.11";"0.11";"2.1";"";"2.43";"8.87";"";"";"40";"2.50"
"LEXIBOOK, Peppa Pig, Walkie-Talkies 200m, Communication Game for Children, 2 Communication Channels, Belt Clip, Battery Operated, Blue, TW12PP COG: 9.95 / Price: 18.91";"B074H6M7TW";"8W-I703-VOFQ";"1";"";"18.91";"";"";"";"";"";"";"";"";"";"-";"";"-5.7";"-9.95";"-3.15";"";"0.11";"0.11";"13.21";"";"0.58";"1.11";"20 898";"";"45";"2.22"
"Fackelmann OPAL Pizza Wheel, Pizza Cutter & Slicer, Super Sharp Blade, Stainless Steel, 18.5x5x1.2cm, Silver COG: 1.34 / Price: 4.66";"B002BX8ZFG";"714810";"1";"";"4.66";"";"";"";"";"";"";"";"";"";"-";"";"-2.49";"-1.34";"-0.78";"";"0.05";"0.05";"2.17";"";"1.07";"3.73";"48 987";"";"12";"8.33"
"Funko POP! TV: Witcher - Yennefer - the Witcher - Collectable Vinyl Figure - Gift Idea - Official Merchandise - Toys for Kids & Adults - TV Fans - Model Figure for Collectors and Display COG: 2.9 / Price: 9.31";"B0B6GD6QF8";"94-X6R7-SCOW";"";"";"";"";"";"";"";"";"";"";"";"";"-";"";"";"";"";"";"";"";"";"";"";"";"";"";"39";""
"CoComelon Children's Toothpaste - Strawberry Flavour - Sugar Free- 74ml - Award Winning COG: 0.7 / Price: 5.99";"B0CL5DHG37";"LP-QMNJ-J49G";"";"";"";"";"";"";"";"";"";"";"";"";"-";"";"";"";"";"";"";"";"";"";"";"";"51 254";"";"43";""
"Chef Aid Cocktail Sticks, Pack of 200 Stick perfect for Buffets and Cocktails use, The Skewer design helps hold sweet and savoury foods, Each cocktails stick measures 8 cm COG: 0.52 / Price: 3.4";"B00F4LA0K0";"RW-AZK6-O4M2";"";"";"";"";"";"";"";"";"";"";"";"";"-";"";"-0.01";"";"";"";"-0.01";"-0.01";"-0.01";"";"";"";"1 701";"";"";""
"Piksters Eco Charcoal 30 Floss Picks - Pack of 1 COG: 1.15 / Price: 3.49";"B08MW8XMNQ";"5Z-6Z0P-9TQQ";"";"";"";"";"";"";"";"";"";"";"";"";"-";"";"-0.01";"";"";"";"-0.01";"-0.01";"-0.01";"";"";"";"134 323";"";"";""
"Funko POP! Movies : Freddy Krueger - Nightmare on Elm Street - Collectable Vinyl Figure - Gift Idea - Official Merchandise - Toys for Kids & Adults - Movies Fans - Model Figure for Collectors COG: 0 / Price: 24.44";"B004GFPFBO";"7M-48OU-23X3";"";"";"";"";"";"";"";"";"";"";"";"";"-";"";"-0.03";"";"";"";"-0.03";"-0.03";"-0.03";"";"";"";"";"";"";""
"Funko Pop! Movies: Bride Of Chucky - Tiffany Valentine-Ray - 1/6 Odds for Rare Chase Variant - Collectable Vinyl Figure - Gift Idea - Official Merchandise - Toys for Kids & Adults - Horror Fans COG: 7.59 / Price: 16.94";"B072YZPBJ3";"UR-Q7TM-1F3I";"";"";"";"";"";"";"";"";"";"";"";"";"-";"";"-0.03";"";"";"";"-0.03";"-0.03";"-0.03";"";"";"";"60 115";"";"";""
"Cameleo - Permanent Hair Colour Cream - Dark Mahogany - Intensive Color & Protection - 5 Oils + Omega Plus Acids - Professional, Luxurious Hair Dye - Full Kit COG: 1.65 / Price: 6.94";"B08MVG9QZW";"WE-1Z7L-SA2I";"1";"";"6.94";"";"";"";"";"";"";"";"";"";"-";"";"-4.16";"-1.65";"-1.16";"";"-0.03";"-0.03";"2.78";"";"-0.43";"-1.82";"38 619";"";"28";"3.57"
"Salt of the Earth - Natural Deodorant Roll on Refill - x7 Uses - Amber & Sandalwood - 100% Natural Origin Ingredients - Vegan - Suitable for Men, Women & Children - 525ml COG: 15.26 / Price: 24.47";"B0B2RBG672";"8M-NHB7-T8TR";"";"";"";"";"";"";"";"";"";"";"";"";"-";"";"-0.03";"";"";"";"-0.03";"-0.03";"-0.03";"";"";"";"15 098";"";"";""
"Yu-Gi-Oh Legendary Decks 2 2024 Unlimited Reprint COG: 12.66 / Price: 27.55";"B0CN5KRVXB";"TU-8I14-25ZR";"";"";"";"";"";"";"";"";"";"";"";"";"-";"";"-0.08";"";"";"";"-0.08";"-0.08";"-0.08";"";"";"";"";"";"";""
"Kitchen Devils S8602003 Lifestyle Kitchen Knife, Black, 30x8.5x2 cm COG: 3.95 / Price: 8.84";"B0012B80HG";"CX-SMCH-4DYA";"";"";"";"";"";"";"";"";"";"";"";"";"-";"";"-0.14";"";"";"";"-0.14";"-0.14";"-0.14";"";"";"";"";"";"506";""
"Max Factor Lash Revival Strengthening Mascara with Bamboo Extract Shade Black 001 COG: 3.5 / Price: 5.71";"B07V6TVSFL";"BC-6AFY-0M24";"";"";"";"";"";"";"";"";"";"";"";"";"-";"";"-0.17";"";"";"";"-0.17";"-0.17";"-0.17";"";"";"";"";"";"";""
"Makeup Revolution, Conceal & Fix, Ultimate Coverage, Concealer, Medium Sand, 11g COG: 1.5 / Price: 6.63";"B0915M1DLF";"SQ-7QYT-5D5B";"";"";"";"";"";"";"";"";"";"";"";"";"-";"";"1.33";"-1.5";"";"";"-0.17";"-0.17";"-0.17";"";"";"-11.33";"";"";"";""
